d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_recv,recv_rate,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
1.0,132,,,approach,d=1 approach t1,1785335469820,1785335535033,68,58.9,0.537,100,100,1.0,100,1.0,127.0,160.0,166.0,12.1,8.25,1088.4,376.0,2.85,-44.0,2.3,-42.2,1.0,1.53,1.23,14.76,15.12,19,4,2,1,3
1.0,132,,,approach,d=1 approach t2,1785335535033,1785335600243,71,61.6,0.521,100,100,1.0,100,1.0,92.0,150.0,116.0,24.1,4.14,546.9,402.5,3.05,-44.1,2.6,-42.2,1.5,1.57,1.53,1.86,3.13,16,4,2,1,3
1.0,132,,,approach,d=1 approach t3,1785335600243,1785335665423,72,62.6,0.552,100,100,1.0,100,1.0,134.0,181.0,172.0,13.3,7.54,995.6,427.9,3.24,-43.4,2.9,-43.0,1.2,1.51,1.19,14.31,14.69,19,4,2,1,3
1.0,132,,,approach,d=1 approach t4,1785335665423,1785335730648,69,58.0,0.552,100,100,1.0,100,1.0,121.0,158.0,152.0,25.1,3.98,525.7,453.4,3.43,-44.5,2.3,-43.3,2.6,1.14,1.11,1.43,2.65,16,4,2,1,3
1.0,132,,,approach,d=1 approach t5,1785335730648,1785335795796,71,61.7,0.568,100,100,1.0,100,1.0,119.0,167.0,152.0,25.1,3.98,525.2,478.9,3.63,-43.7,3.0,-42.2,0.5,1.51,1.49,1.77,2.63,20,4,2,1,3
1.0,132,,,approach,d=1 approach t6,1785335795796,1785335860976,71,61.7,0.537,100,100,1.0,100,1.0,116.0,172.0,160.0,18.1,5.53,729.4,513.1,3.89,-43.3,2.9,-43.0,0.8,1.62,1.3,8.69,9.3,15,4,2,1,3
1.0,132,,,approach,d=1 approach t7,1785335860976,1785335926165,69,58.0,0.537,100,100,1.0,100,1.0,113.0,157.0,142.0,25.1,3.98,525.2,529.8,4.01,-43.8,2.8,-43.5,1.5,1.31,1.29,1.63,2.66,20,4,2,1,3
1.0,132,,,approach,d=1 approach t8,1785335926165,1785335991432,68,57.9,0.536,100,100,1.0,100,1.0,138.0,190.0,170.0,19.1,5.23,689.7,555.2,4.21,-43.6,2.8,-42.0,0.7,1.58,1.27,8.36,8.72,15,4,2,1,3
1.0,132,,,approach,d=1 approach t9,1785335991432,1785336056617,67,56.1,0.506,100,100,1.0,100,1.0,128.0,173.0,166.0,24.2,4.14,546.2,580.6,4.4,-44.4,3.3,-43.2,2.1,2.02,1.94,2.26,3.7,19,4,2,1,3
1.0,132,,,approach,d=1 approach t10,1785336056617,1785336270662,312,80.7,0.822,100,100,1.0,100,1.0,109.0,185.0,158.0,24.1,4.15,547.5,606.1,4.59,-45.4,4.9,-45.7,4.8,1.33,1.28,1.81,3.1,76,4,2,1,4
2.0,132,,,approach,d=2 approach t1,1785336270662,1785336335902,68,57.0,0.552,100,100,1.0,100,1.0,144.0,184.0,204.0,23.2,4.31,569.6,631.5,4.78,-54.0,2.7,-52.0,2.9,1.32,1.3,1.58,4.19,19,4,2,1,3
2.0,132,,,approach,d=2 approach t2,1785336335902,1785336401131,69,59.8,0.552,100,100,1.0,100,1.0,142.0,215.0,188.0,24.1,4.14,546.6,657.0,4.98,-54.2,2.6,-53.8,4.8,1.71,1.66,1.98,3.12,16,4,2,1,3
