d,direction,trials,discovered_rate,connected_rate,session_rate,usable_rate,drop_rate,advCoverage_mean,rssi_adv_mean,msg_sent,recv_rate,delivery_rate,rtt_median_ms
10.0,approach,10,1.0,1.0,1.0,1.0,1.0,0.542,-60.0,1000,1.0,1.0,181.0
20.0,approach,10,1.0,1.0,1.0,1.0,1.0,0.5,-69.3,1000,1.0,1.0,665.0
30.0,approach,10,1.0,1.0,1.0,1.0,1.0,0.333,-80.7,1000,1.0,1.0,227.0
40.0,approach,10,1.0,1.0,1.0,0.9,1.0,0.259,-85.1,1000,1.0,0.895,247.0
50.0,approach,10,1.0,1.0,1.0,1.0,1.0,0.223,-87.6,1000,1.0,0.737,2801.0
60.0,approach,10,0.9,0.9,0.9,0.6,0.9,0.095,-91.1,600,1.0,0.772,996.0
70.0,approach,10,0.9,0.9,0.9,0.3,0.9,0.13,-89.7,500,0.78,0.132,8133.0
80.0,approach,10,0.2,0.2,0.2,0.0,0.2,0.014,-91.5,100,0.23,0.0,
90.0,approach,10,0.5,0.5,0.4,0.1,0.5,0.081,-89.1,100,1.0,0.25,11845.0
100.0,approach,10,0.0,0.0,0.0,0.0,0.0,0.028,-91.3,0,,,
