d,os_adv,announce,handshake,dwell_s,usable_n,trials
10.0,51230.76923076923,2325.6,367.6,30.0,10,10
20.0,51230.76923076923,2120.4,367.6,30.0,10,10
30.0,51230.76923076923,2308.5,367.6,30.0,10,10
40.0,51230.76923076923,2120.4,358.4,30.0,9,10
50.0,51230.76923076923,2034.9,349.2,30.0,10,10
60.0,51230.76923076923,1145.7,262.4,30.0,6,10
70.0,51230.76923076923,769.5,256.4,30.0,3,10
80.0,51230.76923076923,119.7,29.2,30.0,0,10
90.0,51230.76923076923,427.5,111.2,30.0,1,10
100.0,51230.76923076923,0.0,0.0,30.0,0,10
