d,trials,n_t_discovered_s,mean_t_discovered_s,median_t_discovered_s,sem_t_discovered_s,n_t_session_s,mean_t_session_s,median_t_session_s,sem_t_session_s,n_t_usable_s,mean_t_usable_s,median_t_usable_s,sem_t_usable_s
10.0,10,10,2.032,1.8900000000000001,0.2631678805122945,10,4.4590000000000005,2.85,1.22375782825779,10,5.423,3.9299999999999997,1.1242074245144145
20.0,10,10,2.6260000000000003,2.2750000000000004,0.39746474337005316,10,6.575000000000001,3.25,1.9195799598407515,10,9.014,7.675,1.770128181171572
30.0,10,10,2.3440000000000003,1.74,0.506585958484178,10,5.622,2.74,1.9615344333794735,10,7.478,4.970000000000001,1.8695969856867252
40.0,10,10,3.6980000000000004,2.5149999999999997,0.7219999999999999,10,6.065,4.875,1.390729824388779,9,7.654444444444446,5.7,1.4538551348351112
50.0,10,10,4.8549999999999995,3.02,1.0605368137567566,10,5.776999999999999,3.505,1.1880703776385564,10,9.335999999999999,6.4,1.8600335719789813
60.0,10,9,13.825555555555557,16.6,3.4219520546316153,9,17.116666666666667,18.26,3.737230852442012,6,17.551666666666666,15.120000000000001,4.208574118524125
70.0,10,9,15.230000000000002,16.13,3.4377269622043376,9,18.953333333333333,17.87,2.896766875903778,3,21.983333333333334,20.26,4.678626341614004
80.0,10,2,42.105,42.105,26.744999999999994,2,48.28,48.28,21.42,0,,,
90.0,10,5,18.428,21.16,4.6876853563352565,4,17.7175,16.545,5.850044693561466,1,21.27,21.27,
100.0,10,0,,,,0,,,,0,,,
