d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,power_mA_adbed3e0,energy_mAh_adbed3e0,power_mA_ba2af95f,energy_mAh_ba2af95f,msg_sent,msg_recv,recv_rate,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
10.0,132.0,,,approach,d=10 approach t1,1785390702343,1785390767531,48,40.5,0.491,383.3,7.09,331.7,6.415,100,100,1.0,100,1.0,138.0,764.0,184.0,18.2,5.5,725.8,376.0,2.85,-59.7,1.6,-58.5,1.3,3.22,2.82,8.76,9.2,16,4,2,1,3
10.0,132.0,,,approach,d=10 approach t2,1785390767531,1785390832656,66,56.2,0.553,486.8,7.144,506.1,6.76,100,100,1.0,100,1.0,162.0,224.0,186.0,24.2,4.13,545.7,402.5,3.05,-59.2,1.5,-58.4,0.5,2.3,2.2,2.85,3.72,18,4,2,1,3
10.0,132.0,,,approach,d=10 approach t3,1785390832656,1785390897913,56,47.8,0.506,453.0,6.598,416.7,6.761,100,100,1.0,100,1.0,139.0,233.0,158.0,25.2,3.97,523.6,427.9,3.24,-59.3,1.5,-58.2,3.2,1.17,1.13,1.42,2.58,18,4,2,1,3
10.0,132.0,,,approach,d=10 approach t4,1785390897913,1785390963115,57,47.9,0.537,411.8,3.372,298.2,6.473,100,100,1.0,100,1.0,118.0,175.0,148.0,25.2,3.97,524.0,453.4,3.43,-59.7,1.6,-57.8,1.6,1.19,1.16,1.47,2.58,18,4,2,1,3
10.0,132.0,,,approach,d=10 approach t5,1785390963115,1785391028295,60,50.6,0.491,378.7,3.41,388.0,6.526,100,100,1.0,100,1.0,126.0,206.0,160.0,25.1,3.98,525.9,478.9,3.63,-59.5,1.4,-58.4,1.3,1.08,1.06,1.38,2.59,18,4,2,1,3
10.0,132.0,,,approach,d=10 approach t6,1785391028295,1785391093544,56,46.0,0.506,363.6,3.491,292.8,6.775,100,100,1.0,100,1.0,120.0,154.0,184.0,14.2,7.05,930.2,513.1,3.89,-59.7,1.6,-59.2,1.2,1.99,1.74,12.7,13.11,17,4,2,1,3
10.0,132.0,,,approach,d=10 approach t7,1785391093544,1785391158699,32,23.9,0.399,315.1,6.911,515.7,3.339,100,100,1.0,100,1.0,116.0,164.0,146.0,24.1,4.14,546.7,529.8,4.01,-60.0,1.3,-59.0,1.8,1.59,1.53,1.82,3.15,18,4,2,1,4
10.0,132.0,,,approach,d=10 approach t8,1785391158699,1785391223888,57,47.9,0.506,344.9,6.723,363.5,6.476,100,100,1.0,100,1.0,132.0,198.0,176.0,23.2,4.31,568.9,555.2,4.21,-59.7,1.6,-58.4,1.3,2.62,2.54,2.85,4.14,16,4,2,1,3
10.0,132.0,,,approach,d=10 approach t9,1785391223888,1785391289107,71,60.7,0.583,383.1,7.875,692.1,4.102,100,100,1.0,100,1.0,598.0,4560.0,644.0,25.1,3.98,525.0,580.6,4.4,-60.1,1.8,-57.4,1.5,1.79,1.5,7.35,7.96,16,4,2,1,3
10.0,132.0,,,approach,d=10 approach t10,1785391289107,1785391539674,400,89.6,0.85,388.9,31.67,373.2,29.293,100,100,1.0,100,1.0,160.0,250.0,196.0,22.1,4.52,596.0,606.1,4.59,-62.9,5.6,-60.4,4.3,3.37,3.36,3.99,5.2,90,4,2,1,3
