device,buffer,peak,final,samples
18130c0f,dtnPackets,0,0,258
18130c0f,dtnRecipients,0,0,258
18130c0f,dtnBytes,0,0,258
18130c0f,ackIndex,0,0,258
18130c0f,sessions,5,5,258
18130c0f,reassembly,0,0,258
18130c0f,reassemblyBytes,0,0,258
18130c0f,sealedContentIds,143,143,258
18130c0f,outgoingTracked,0,0,258
18130c0f,traceBufferedBytes,261458,26430,258
44a266c4,dtnPackets,0,0,258
44a266c4,dtnRecipients,0,0,258
44a266c4,dtnBytes,0,0,258
44a266c4,ackIndex,0,0,258
44a266c4,sessions,4,4,258
44a266c4,reassembly,0,0,258
44a266c4,reassemblyBytes,0,0,258
44a266c4,sealedContentIds,114,114,258
44a266c4,outgoingTracked,0,0,258
44a266c4,traceBufferedBytes,211271,20425,258
929a022c,dtnPackets,0,0,258
929a022c,dtnRecipients,0,0,258
929a022c,dtnBytes,0,0,258
929a022c,ackIndex,0,0,258
929a022c,sessions,5,5,258
929a022c,reassembly,0,0,258
929a022c,reassemblyBytes,0,0,258
929a022c,sealedContentIds,126,126,258
929a022c,outgoingTracked,0,0,258
929a022c,traceBufferedBytes,187061,8225,258
b7d04acb,dtnPackets,0,0,258
b7d04acb,dtnRecipients,0,0,258
b7d04acb,dtnBytes,0,0,258
b7d04acb,ackIndex,0,0,258
b7d04acb,sessions,5,5,258
b7d04acb,reassembly,0,0,258
b7d04acb,reassemblyBytes,0,0,258
b7d04acb,sealedContentIds,95,95,258
b7d04acb,outgoingTracked,0,0,258
b7d04acb,traceBufferedBytes,195999,23271,258
d5aedd63,dtnPackets,0,0,258
d5aedd63,dtnRecipients,0,0,258
d5aedd63,dtnBytes,0,0,258
d5aedd63,ackIndex,0,0,258
d5aedd63,sessions,4,4,258
d5aedd63,reassembly,0,0,258
d5aedd63,reassemblyBytes,0,0,258
d5aedd63,sealedContentIds,57,57,258
d5aedd63,outgoingTracked,0,0,258
d5aedd63,traceBufferedBytes,65619,2759,258
