device,cap,encounters,distinct_peers,hit_rate,walk_us_per_s,handshake_us_per_s,total_us_per_s,cpu_pct
18130c0f,8,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,16,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,32,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,64,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,128,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,256,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,512,5,5,0.0,0.0,424.4,424.4,0.042
18130c0f,1024,5,5,0.0,0.0,424.4,424.4,0.042
44a266c4,8,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,16,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,32,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,64,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,128,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,256,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,512,4,4,0.0,0.0,339.6,339.6,0.034
44a266c4,1024,4,4,0.0,0.0,339.6,339.6,0.034
929a022c,8,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,16,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,32,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,64,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,128,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,256,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,512,7,5,1.0,0.0,0.0,0.0,0.0
929a022c,1024,7,5,1.0,0.0,0.0,0.0,0.0
b7d04acb,8,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,16,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,32,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,64,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,128,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,256,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,512,6,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,1024,6,4,1.0,0.0,0.0,0.0,0.0
d5aedd63,8,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,16,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,32,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,64,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,128,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,256,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,512,2,2,0.0,0.0,169.8,169.8,0.017
d5aedd63,1024,2,2,0.0,0.0,169.8,169.8,0.017
