d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,power_charging_18130c0f,power_charging_44a266c4,power_charging_929a022c,power_charging_b7d04acb,power_charging_d5aedd63,msg_sent,msg_recv,recv_rate,msg_delivered,msg_arrived,arrival_rate,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
,,,,,N=2 converge,1786984800120.0,1786984895003.0,88,54.4,0.906,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-51.8,0.6,-46.0,1.4,4.68,4.65,,,1,2,0,0,10
,,,,,N=2 M=1 t1,1786984895003.0,1786985020004.0,130,61.9,0.936,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-50.3,5.1,-47.0,,,12.55,,,0,3,0,0,0
,,,,,N=3 converge,1786985020004.0,1786985085004.0,223,198.5,0.969,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-39.1,8.8,-39.2,10.5,,5.61,,,0,6,0,0,2
,,,,,N=3 M=1 t1,1786985085004.0,1786985210005.0,393,181.0,0.992,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-38.7,8.6,-36.8,7.8,,,,,0,0,0,0,0
,,,,,N=3 M=2 t1,1786985210005.0,1786985335002.0,475,220.8,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-39.1,8.9,-35.1,10.1,123.88,123.73,,,2,4,0,0,0
,,,,,N=4 converge,1786985335002.0,1786985400005.0,327,276.0,0.985,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-43.8,9.0,-39.2,15.8,2.12,2.09,,,2,11,0,0,6
,,,,,N=4 M=1 t1,1786985400005.0,1786985525004.0,766,333.6,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-42.5,9.6,-36.8,10.3,,,,,0,0,0,0,0
,,,,,N=4 M=2 t1,1786985525004.0,1786985650002.0,933,416.6,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-42.7,10.1,-36.6,9.9,,,,,0,0,0,0,0
,,,,,N=4 M=3 t1,1786985650002.0,1786985775004.0,828,363.8,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-42.1,11.0,-38.2,9.7,,,,,0,0,0,0,0
,,,,,N=5 converge,1786985775004.0,1786985840005.0,654,559.4,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.4,10.7,-41.6,8.9,,7.18,,,0,6,0,0,0
,,,,,N=5 M=1 t1,1786985840005.0,1786985965004.0,1294,572.6,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.5,10.5,-41.4,7.9,,,,,0,0,0,0,0
,,,,,N=5 M=2 t1,1786985965004.0,1786986090004.0,1257,556.3,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.4,10.5,-42.3,8.1,,,,,0,0,0,0,0
,,,,,N=5 M=3 t1,1786986090004.0,1786986215004.0,1322,589.4,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.3,10.2,-41.9,8.2,,,,,0,0,0,0,0
,,,,,N=5 M=4 t1,1786986215004.0,1786986340013.0,1287,573.1,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-45.9,10.0,-43.2,8.4,,,,,0,0,0,0,0
,,,,,N=6 converge,1786986340013.0,1786986405005.0,858,744.1,1.016,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.0,10.0,-42.5,8.6,,15.07,,,0,4,0,0,0
,,,,,N=6 M=1 t1,1786986405005.0,1786986530007.0,1627,726.2,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-45.7,10.2,-43.4,8.9,,,,,0,0,0,0,0
,,,,,N=6 M=2 t1,1786986530007.0,1786986655004.0,1727,777.1,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-45.9,10.2,-43.0,7.8,,,,,0,0,0,0,0
,,,,,N=6 M=3 t1,1786986655004.0,1786986780009.0,1737,781.9,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-45.8,10.1,-42.3,7.8,,,,,0,0,0,0,0
,,,,,N=6 M=4 t1,1786986780009.0,1786986905005.0,1402,615.9,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.3,9.7,-42.6,8.6,,,,,0,0,0,0,0
,,,,,N=6 M=5 t1,1786986905005.0,1786987025012.0,1467,671.5,1.0,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-45.2,9.8,-42.2,8.6,,,,,0,0,0,0,0
