device,buffer,peak,final,samples
18130c0f,dtnPackets,0,0,247
18130c0f,dtnRecipients,0,0,247
18130c0f,dtnBytes,0,0,247
18130c0f,ackIndex,0,0,247
18130c0f,sessions,5,5,247
18130c0f,reassembly,0,0,247
18130c0f,reassemblyBytes,0,0,247
18130c0f,sealedContentIds,84,84,247
18130c0f,outgoingTracked,0,0,247
18130c0f,traceBufferedBytes,168995,22543,247
44a266c4,dtnPackets,0,0,247
44a266c4,dtnRecipients,0,0,247
44a266c4,dtnBytes,0,0,247
44a266c4,ackIndex,0,0,247
44a266c4,sessions,4,4,247
44a266c4,reassembly,0,0,247
44a266c4,reassemblyBytes,0,0,247
44a266c4,sealedContentIds,51,51,247
44a266c4,outgoingTracked,0,0,247
44a266c4,traceBufferedBytes,119047,20634,247
929a022c,dtnPackets,0,0,247
929a022c,dtnRecipients,0,0,247
929a022c,dtnBytes,0,0,247
929a022c,ackIndex,0,0,247
929a022c,sessions,4,4,247
929a022c,reassembly,0,0,247
929a022c,reassemblyBytes,0,0,247
929a022c,sealedContentIds,69,69,247
929a022c,outgoingTracked,0,0,247
929a022c,traceBufferedBytes,133041,7861,247
b7d04acb,dtnPackets,0,0,247
b7d04acb,dtnRecipients,0,0,247
b7d04acb,dtnBytes,0,0,247
b7d04acb,ackIndex,0,0,247
b7d04acb,sessions,5,5,247
b7d04acb,reassembly,0,0,247
b7d04acb,reassemblyBytes,0,0,247
b7d04acb,sealedContentIds,51,51,247
b7d04acb,outgoingTracked,0,0,247
b7d04acb,traceBufferedBytes,145847,25071,247
be3a5ef5,dtnPackets,0,0,247
be3a5ef5,dtnRecipients,0,0,247
be3a5ef5,dtnBytes,0,0,247
be3a5ef5,ackIndex,0,0,247
be3a5ef5,sessions,5,5,247
be3a5ef5,reassembly,0,0,247
be3a5ef5,reassemblyBytes,0,0,247
be3a5ef5,sealedContentIds,86,86,247
be3a5ef5,outgoingTracked,0,0,247
be3a5ef5,traceBufferedBytes,161408,14111,247
d5aedd63,dtnPackets,0,0,247
d5aedd63,dtnRecipients,0,0,247
d5aedd63,dtnBytes,0,0,247
d5aedd63,ackIndex,0,0,247
d5aedd63,sessions,3,3,247
d5aedd63,reassembly,0,0,247
d5aedd63,reassemblyBytes,0,0,247
d5aedd63,sealedContentIds,34,34,247
d5aedd63,outgoingTracked,0,0,247
d5aedd63,traceBufferedBytes,54206,2755,247
