device,pop_n,m,rep,step,recorded,radio_up,established,conn_idx,ms_to_establish,in_flight,peripheral_links,total_links,ms_to_identified,ms_to_session,ms_to_converged
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1,1,N=2 M=1 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,1,N=3 M=2 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,0,False,1,1,2339.0,0.0,6.0,9.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,1,N=4 M=2 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,1,N=6 M=5 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,2,1,1,N=2 M=1 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,1,1,N=3 M=1 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,2,1,N=3 M=2 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,1,1,N=4 M=1 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,2,1,N=4 M=2 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,3,1,N=4 M=3 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,1,1,N=5 M=1 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,2,1,N=5 M=2 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,3,1,N=5 M=3 t1,0,False,1,1,72610.0,0.0,4.0,5.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,4,1,N=5 M=4 t1,0,False,2,1,2824.0,2.0,4.0,5.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,4,1,N=5 M=4 t1,0,False,2,2,83585.0,1.0,4.0,5.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,1,1,N=6 M=1 t1,0,False,2,1,9054.0,1.0,4.0,5.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,1,1,N=6 M=1 t1,0,False,2,2,79798.0,1.0,5.0,7.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,2,1,N=6 M=2 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,3,1,N=6 M=3 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,4,1,N=6 M=4 t1,0,False,0,0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,5,1,N=6 M=5 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,2,1,1,N=2 M=1 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,1,1,N=3 M=1 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,2,1,N=3 M=2 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,1,1,N=4 M=1 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,2,1,N=4 M=2 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,3,1,N=4 M=3 t1,0,False,0,0,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,1,1,N=5 M=1 t1,0,False,4,1,22749.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,1,1,N=5 M=1 t1,0,False,4,2,55116.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,1,1,N=5 M=1 t1,0,False,4,3,84416.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,1,1,N=5 M=1 t1,0,False,4,4,108441.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,2,1,N=5 M=2 t1,0,False,4,1,12189.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,2,1,N=5 M=2 t1,0,False,4,2,36696.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,2,1,N=5 M=2 t1,0,False,4,3,61438.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,2,1,N=5 M=2 t1,0,False,4,4,85842.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,3,1,N=5 M=3 t1,0,False,4,1,6527.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,3,1,N=5 M=3 t1,0,False,4,2,61393.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,3,1,N=5 M=3 t1,0,False,4,3,84699.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,3,1,N=5 M=3 t1,0,False,4,4,108412.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,4,1,N=5 M=4 t1,0,False,5,1,11849.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,4,1,N=5 M=4 t1,0,False,5,2,36637.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,4,1,N=5 M=4 t1,0,False,5,3,61503.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,4,1,N=5 M=4 t1,0,False,5,4,85636.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,4,1,N=5 M=4 t1,0,False,5,5,109995.0,0.0,8.0,13.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,1,1,N=6 M=1 t1,0,False,4,1,6891.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,1,1,N=6 M=1 t1,0,False,4,2,35114.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,1,1,N=6 M=1 t1,0,False,4,3,86764.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,1,1,N=6 M=1 t1,0,False,4,4,109518.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,2,1,N=6 M=2 t1,0,False,5,1,11394.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,2,1,N=6 M=2 t1,0,False,5,2,34049.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,2,1,N=6 M=2 t1,0,False,5,3,57452.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,2,1,N=6 M=2 t1,0,False,5,4,98652.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,2,1,N=6 M=2 t1,0,False,5,5,122742.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,3,1,N=6 M=3 t1,0,False,3,1,22599.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,3,1,N=6 M=3 t1,0,False,3,2,47740.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,3,1,N=6 M=3 t1,0,False,3,3,98337.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,4,1,N=6 M=4 t1,0,False,4,1,1684.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,4,1,N=6 M=4 t1,0,False,4,2,54983.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,4,1,N=6 M=4 t1,0,False,4,3,86020.0,0.0,9.0,15.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,4,1,N=6 M=4 t1,0,False,4,4,110745.0,0.0,9.0,15.0,,,
