device,cap,encounters,distinct_peers,hit_rate,walk_us_per_s,handshake_us_per_s,total_us_per_s,cpu_pct
18130c0f,8,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,16,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,32,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,64,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,128,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,256,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,512,5,5,0.0,0.0,578.6,578.6,0.058
18130c0f,1024,5,5,0.0,0.0,578.6,578.6,0.058
44a266c4,8,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,16,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,32,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,64,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,128,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,256,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,512,3,3,0.0,0.0,347.2,347.2,0.035
44a266c4,1024,3,3,0.0,0.0,347.2,347.2,0.035
929a022c,8,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,16,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,32,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,64,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,128,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,256,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,512,5,4,1.0,0.0,0.0,0.0,0.0
929a022c,1024,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,8,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,16,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,32,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,64,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,128,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,256,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,512,5,4,1.0,0.0,0.0,0.0,0.0
b7d04acb,1024,5,4,1.0,0.0,0.0,0.0,0.0
be3a5ef5,8,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,16,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,32,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,64,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,128,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,256,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,512,6,5,1.0,0.0,0.0,0.0,0.0
be3a5ef5,1024,6,5,1.0,0.0,0.0,0.0,0.0
d5aedd63,8,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,16,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,32,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,64,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,128,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,256,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,512,2,2,0.0,0.0,231.5,231.5,0.023
d5aedd63,1024,2,2,0.0,0.0,231.5,231.5,0.023
