d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,power_charging_18130c0f,power_charging_44a266c4,power_charging_929a022c,power_charging_b7d04acb,power_charging_be3a5ef5,power_charging_d5aedd63,msg_sent,msg_recv,recv_rate,msg_delivered,msg_arrived,arrival_rate,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_gattConnected_s,t_identified_s,t_connected_s,t_session_s,t_usable_s,discovered,gattConnected,identified,connected,session,usable,drop
,,,,,N=2 converge,1786991700089,1786991795005,175,104.9,0.98,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-55.9,3.7,-49.8,1.5,2.56,0.38,2.56,2.55,,,3,15,3,4,0,0,10
,,,,,N=2 M=1 t1,1786991795005,1786991920004,182,80.6,0.968,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-54.1,5.1,-49.0,1.9,,75.86,,76.81,,,0,6,0,2,0,0,0
,,,,,N=3 converge,1786991920004,1786991985003,334,288.9,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.7,11.3,-46.3,7.3,3.77,2.15,,3.63,,,1,10,0,8,0,0,0
,,,,,N=3 M=1 t1,1786991985003,1786992110005,635,280.8,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.7,11.3,-44.8,9.2,,46.5,,47.27,,,0,3,0,2,0,0,0
,,,,,N=3 M=2 t1,1786992110005,1786992235005,595,262.6,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-43.3,10.8,-47.8,7.3,,124.0,,124.98,,,0,6,0,1,0,0,0
,,,,,N=4 converge,1786992235005,1786992300005,455,365.5,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.6,9.0,-42.0,10.9,0.11,2.3,,0.1,,,2,20,0,15,0,0,6
,,,,,N=4 M=1 t1,1786992300005,1786992425005,1067,461.8,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.9,10.5,-43.6,10.6,,2.31,,3.49,,,0,3,0,2,0,0,0
,,,,,N=4 M=2 t1,1786992425005,1786992550004,1086,477.1,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.3,10.8,-43.0,10.8,,,,,,,0,0,0,0,0,0,0
,,,,,N=4 M=3 t1,1786992550004,1786992675005,1075,468.0,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-45.1,11.4,-43.2,10.5,,,,,,,0,0,0,0,0,0,0
,,,,,N=5 converge,1786992675005,1786992740004,754,622.2,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.2,10.8,-43.2,10.2,3.34,2.46,,3.2,,,1,17,0,6,0,0,0
,,,,,N=5 M=1 t1,1786992740004,1786992865006,1246,519.8,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.2,10.7,-45.0,9.6,,22.72,,,,,0,8,0,0,0,0,0
,,,,,N=5 M=2 t1,1786992865006,1786992990005,1229,513.1,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.8,10.9,-44.4,10.1,,12.17,,,,,0,8,0,0,0,0,0
,,,,,N=5 M=3 t1,1786992990005,1786993115005,1525,660.0,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.7,11.9,-45.1,9.8,,6.52,,,,,0,10,0,0,0,0,0
,,,,,N=5 M=4 t1,1786993115005,1786993240005,1579,684.0,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.4,11.2,-44.6,9.8,,2.85,,,,,0,15,0,0,0,0,0
,,,,,N=6 converge,1786993240005,1786993305017,979,838.9,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.8,11.0,-44.7,10.5,,1.3,,25.48,,,0,15,0,4,0,0,2
,,,,,N=6 M=1 t1,1786993305017,1786993430004,1919,846.8,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.2,11.0,-45.5,10.5,,6.86,,9.87,,,0,13,0,2,0,0,0
,,,,,N=6 M=2 t1,1786993430004,1786993555006,1819,802.1,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.4,11.0,-45.0,9.8,,11.36,,,,,0,10,0,0,0,0,0
,,,,,N=6 M=3 t1,1786993555006,1786993680005,1997,882.7,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.1,11.0,-45.8,10.3,,22.56,,,,,0,6,0,0,0,0,0
,,,,,N=6 M=4 t1,1786993680005,1786993805005,1708,745.4,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.1,11.2,-44.2,10.6,,1.66,,,,,0,8,0,0,0,0,0
,,,,,N=6 M=5 t1,1786993805005,1786993925010,1818,830.5,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.7,11.3,-44.8,10.3,,38.61,,,,,0,4,0,0,0,0,0
