device,buffer,peak,final,samples
18130c0f,dtnPackets,0,0,263
18130c0f,dtnRecipients,0,0,263
18130c0f,dtnBytes,0,0,263
18130c0f,ackIndex,0,0,263
18130c0f,sessions,5,5,263
18130c0f,reassembly,0,0,263
18130c0f,reassemblyBytes,0,0,263
18130c0f,sealedContentIds,775,775,263
18130c0f,outgoingTracked,0,0,263
18130c0f,traceBufferedBytes,338290,56551,263
44a266c4,dtnPackets,0,0,263
44a266c4,dtnRecipients,0,0,263
44a266c4,dtnBytes,0,0,263
44a266c4,ackIndex,0,0,263
44a266c4,sessions,5,5,263
44a266c4,reassembly,0,0,263
44a266c4,reassemblyBytes,0,0,263
44a266c4,sealedContentIds,581,581,263
44a266c4,outgoingTracked,0,0,263
44a266c4,traceBufferedBytes,233019,42998,263
929a022c,dtnPackets,0,0,263
929a022c,dtnRecipients,0,0,263
929a022c,dtnBytes,0,0,263
929a022c,ackIndex,0,0,263
929a022c,sessions,5,5,263
929a022c,reassembly,0,0,263
929a022c,reassemblyBytes,0,0,263
929a022c,sealedContentIds,825,825,263
929a022c,outgoingTracked,0,0,263
929a022c,traceBufferedBytes,231316,41560,263
b7d04acb,dtnPackets,0,0,263
b7d04acb,dtnRecipients,0,0,263
b7d04acb,dtnBytes,0,0,263
b7d04acb,ackIndex,0,0,263
b7d04acb,sessions,5,5,263
b7d04acb,reassembly,0,0,263
b7d04acb,reassemblyBytes,0,0,263
b7d04acb,sealedContentIds,867,867,263
b7d04acb,outgoingTracked,0,0,263
b7d04acb,traceBufferedBytes,303399,65394,263
be3a5ef5,dtnPackets,0,0,263
be3a5ef5,dtnRecipients,0,0,263
be3a5ef5,dtnBytes,0,0,263
be3a5ef5,ackIndex,0,0,263
be3a5ef5,sessions,5,5,263
be3a5ef5,reassembly,0,0,263
be3a5ef5,reassemblyBytes,0,0,263
be3a5ef5,sealedContentIds,813,813,263
be3a5ef5,outgoingTracked,0,0,263
be3a5ef5,traceBufferedBytes,261992,67717,263
d5aedd63,dtnPackets,0,0,263
d5aedd63,dtnRecipients,0,0,263
d5aedd63,dtnBytes,0,0,263
d5aedd63,ackIndex,0,0,263
d5aedd63,sessions,5,5,263
d5aedd63,reassembly,0,0,263
d5aedd63,reassemblyBytes,0,0,263
d5aedd63,sealedContentIds,270,270,263
d5aedd63,outgoingTracked,0,0,263
d5aedd63,traceBufferedBytes,99091,25566,263
