device,pop_n,m,rep,step,recorded,radio_up,established,conn_idx,ms_to_establish,in_flight,peripheral_links,total_links,ms_to_identified,ms_to_session,ms_to_converged
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1,1,N=2 M=1 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,1,N=3 M=2 t1,0,False,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,3,True,3,1,18660.0,1.0,4.0,5.0,19506.0,,18660.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,3,True,3,2,19810.0,1.0,3.0,5.0,20482.0,,19810.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,3,True,3,3,23391.0,1.0,3.0,6.0,24275.0,,23391.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,1,N=4 M=2 t1,6,True,0,0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,1,1398.0,3.0,3.0,6.0,2131.0,,1398.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,2,5294.0,2.0,3.0,5.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,3,13564.0,2.0,4.0,7.0,16335.0,,15328.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,4,48342.0,2.0,2.0,4.0,48826.0,,48342.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,5,49650.0,1.0,3.0,6.0,51338.0,,53909.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,6,63168.0,1.0,4.0,7.0,63651.0,,63168.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,7,True,7,7,107245.0,1.0,4.0,7.0,108935.0,,110391.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,4,True,4,1,943.0,1.0,2.0,3.0,1718.0,,943.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,4,True,4,2,2589.0,1.0,1.0,3.0,4212.0,,12798.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,4,True,4,3,4714.0,1.0,4.0,7.0,6097.0,,5124.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,4,True,4,4,6557.0,1.0,5.0,9.0,7547.0,,23323.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,1,151.0,1.0,1.0,2.0,934.0,,151.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,2,2002.0,1.0,2.0,4.0,4075.0,,6048.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,3,3708.0,2.0,4.0,7.0,5870.0,,6976.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,4,4198.0,2.0,4.0,8.0,5165.0,,4198.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,5,17959.0,1.0,4.0,8.0,,,22407.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,6,23984.0,1.0,4.0,8.0,25880.0,,23984.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,7,54742.0,1.0,4.0,8.0,56049.0,,61126.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,8,True,8,8,110279.0,1.0,4.0,8.0,112155.0,,113026.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,5,True,5,1,2942.0,1.0,5.0,9.0,4645.0,,22498.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,5,True,5,2,45113.0,1.0,4.0,8.0,48733.0,,45113.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,5,True,5,3,58861.0,1.0,4.0,8.0,59754.0,,60508.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,5,True,5,4,73185.0,1.0,4.0,8.0,79435.0,,77311.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,5,True,5,5,77958.0,1.0,5.0,9.0,79435.0,,77958.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,1,2277.0,1.0,1.0,2.0,3724.0,,5138.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,2,5321.0,3.0,2.0,4.0,6132.0,,5321.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,3,25064.0,1.0,4.0,7.0,25890.0,,25064.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,4,27524.0,1.0,4.0,8.0,29545.0,,30146.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,5,32182.0,1.0,4.0,8.0,33518.0,,51722.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,6,43974.0,1.0,3.0,6.0,45342.0,,51722.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,7,48249.0,1.0,5.0,9.0,49898.0,,48249.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,8,64911.0,1.0,4.0,8.0,66868.0,,64911.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,9,74953.0,1.0,4.0,8.0,81465.0,,74953.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,9,True,10,10,117345.0,1.0,4.0,8.0,119387.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,1,2943.0,1.0,2.0,4.0,3678.0,,54532.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,2,4356.0,1.0,3.0,6.0,5043.0,,5773.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,3,6693.0,1.0,4.0,8.0,7510.0,,18601.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,4,18318.0,1.0,4.0,8.0,19672.0,,21651.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,5,29869.0,1.0,4.0,8.0,30624.0,,54532.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,6,39366.0,1.0,5.0,10.0,40408.0,,41131.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,7,52470.0,1.0,6.0,11.0,53400.0,,54532.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,8,True,8,8,64123.0,1.0,5.0,10.0,65310.0,,64123.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,3,True,3,1,1553.0,1.0,3.0,6.0,2687.0,,4559.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,3,True,3,2,2898.0,1.0,4.0,8.0,3897.0,,2898.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,3,True,3,3,26606.0,1.0,5.0,9.0,28270.0,,26606.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,1,2258.0,2.0,4.0,6.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,2,2707.0,3.0,5.0,8.0,3447.0,,2707.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,3,2709.0,3.0,5.0,9.0,22715.0,,9435.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,4,5106.0,1.0,5.0,9.0,5932.0,,21184.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,5,7439.0,1.0,6.0,11.0,22715.0,,9435.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,6,20890.0,1.0,4.0,8.0,22715.0,,23633.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,7,22167.0,2.0,5.0,10.0,23647.0,,24546.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,8,44151.0,1.0,5.0,10.0,45060.0,,44151.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,9,True,9,9,70774.0,1.0,5.0,10.0,74118.0,,70774.0
