device,pop_n,est_m1,knee_m,best_est,max_m,median_ms_establish_at_knee,median_ms_session_at_knee,median_ms_converged_at_knee,max_in_flight,max_peripheral_links,max_total_links,est_m2,est_m3,est_m4,est_m5
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,0.0,1,0.0,1,,,,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,0.0,1,0.0,2,,,,,,,0.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3.0,3,7.0,3,48342.0,,51125.5,3.0,4.0,7.0,0.0,7.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4.0,4,10.0,4,38078.0,,48249.0,3.0,5.0,9.0,8.0,5.0,10.0,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,8.0,3,9.0,5,7439.0,,22408.5,3.0,6.0,11.0,3.0,9.0,9.0,6.0
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,2,0.0,1,0.0,1,,,,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,0.0,1,0.0,2,,,,,,,0.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,6.0,3,8.0,4,29322.0,,30221.0,3.0,5.0,9.0,0.0,8.0,8.0,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,5.0,3,10.0,5,20227.5,,22143.0,3.0,6.0,11.0,8.0,10.0,9.0,8.0
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,2,0.0,1,0.0,1,,,,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,2.0,1,2.0,2,6860.0,,11059.5,1.0,3.0,5.0,1.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,5.0,3,6.0,3,30722.5,,46431.0,2.0,6.0,9.0,5.0,6.0,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,6.0,4,7.0,4,52125.0,,55621.0,1.0,5.0,9.0,6.0,3.0,7.0,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,5.0,2,6.0,5,12062.0,,25931.0,3.0,6.0,11.0,6.0,0.0,5.0,6.0
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,2,0.0,1,0.0,1,,,,,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,3,2.0,1,2.0,2,17928.5,,17928.5,1.0,3.0,4.0,0.0,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,4,5.0,2,8.0,3,66431.5,,66431.5,2.0,5.0,8.0,8.0,8.0,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,11.0,4,15.0,4,52550.0,,40698.0,3.0,6.0,10.0,3.0,5.0,15.0,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,7.0,3,9.0,5,6950.0,,14023.0,3.0,7.0,11.0,4.0,9.0,6.0,8.0
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,2,2.0,1,2.0,1,61721.5,,61721.5,1.0,3.0,5.0,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,3,2.0,1,2.0,2,5143.5,,11130.0,1.0,3.0,5.0,0.0,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,4,3.0,3,10.0,3,14073.0,,24152.0,3.0,7.0,10.0,6.0,10.0,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,5,7.0,3,8.0,4,16626.0,,16626.0,3.0,7.0,11.0,4.0,8.0,7.0,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,6,5.0,5,9.0,5,10923.0,,13599.0,2.0,7.0,12.0,6.0,0.0,5.0,9.0
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,2,0.0,1,0.0,1,,,,,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,3,0.0,1,0.0,2,,,,,,,0.0,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,3.0,3,4.0,5,14078.5,,14078.5,2.0,3.0,6.0,3.0,4.0,4.0,3.0
