device,cap,encounters,distinct_peers,hit_rate,walk_us_per_s,handshake_us_per_s,total_us_per_s,cpu_pct
18130c0f,8,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,16,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,32,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,64,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,128,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,256,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,512,11,5,1.0,0.7,0.0,0.7,0.0
18130c0f,1024,11,5,1.0,0.7,0.0,0.7,0.0
44a266c4,8,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,16,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,32,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,64,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,128,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,256,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,512,9,5,1.0,0.7,0.0,0.7,0.0
44a266c4,1024,9,5,1.0,0.7,0.0,0.7,0.0
929a022c,8,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,16,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,32,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,64,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,128,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,256,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,512,10,5,1.0,0.7,0.0,0.7,0.0
929a022c,1024,10,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,8,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,16,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,32,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,64,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,128,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,256,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,512,14,5,1.0,0.7,0.0,0.7,0.0
b7d04acb,1024,14,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,8,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,16,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,32,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,64,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,128,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,256,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,512,12,5,1.0,0.7,0.0,0.7,0.0
be3a5ef5,1024,12,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,8,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,16,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,32,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,64,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,128,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,256,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,512,11,5,1.0,0.7,0.0,0.7,0.0
d5aedd63,1024,11,5,1.0,0.7,0.0,0.7,0.0
