d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,power_charging_18130c0f,power_charging_44a266c4,power_charging_929a022c,power_charging_b7d04acb,power_charging_be3a5ef5,power_charging_d5aedd63,msg_sent,msg_recv,recv_rate,msg_delivered,msg_arrived,arrival_rate,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_gattConnected_s,t_identified_s,t_connected_s,t_session_s,t_usable_s,discovered,gattConnected,identified,connected,session,usable,drop
,,,,,N=2 converge,1786997700133.0,1786997795004.0,156,94.2,0.928,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-55.9,4.2,-49.4,1.1,9.83,2.37,9.83,9.81,,,36,8,36,4,0,0,14
,,,,,N=2 M=1 t1,1786997795004.0,1786997920003.0,238,106.6,0.944,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-55.0,6.1,-47.9,4.8,8.62,3.67,8.62,8.6,,,66,13,66,10,0,0,4
,,,,,N=3 converge,1786997920003.0,1786997985002.0,301,252.9,0.969,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.3,11.4,-40.2,10.9,4.24,2.68,4.24,4.21,,,90,19,90,16,0,0,15
,,,,,N=3 M=1 t1,1786997985002.0,1786998110003.0,644,286.6,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.1,11.2,-37.9,10.9,7.95,1.67,7.95,7.9,,,153,17,153,12,0,0,9
,,,,,N=3 M=2 t1,1786998110003.0,1786998235002.0,663,297.1,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.6,11.2,-40.9,11.8,1.9,0.46,1.9,1.88,,,173,23,173,16,0,0,15
,,,,,N=4 converge,1786998235002.0,1786998300003.0,566,480.9,0.954,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.8,10.3,-40.9,9.8,6.0,3.66,6.0,5.88,,,151,39,151,30,0,0,22
,,,,,N=4 M=1 t1,1786998300003.0,1786998425004.0,1048,460.8,0.984,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.8,10.4,-41.1,10.0,7.68,2.68,7.67,7.66,,,295,40,295,29,0,0,25
,,,,,N=4 M=2 t1,1786998425004.0,1786998550004.0,1151,505.4,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.4,10.4,-41.7,9.7,2.97,1.67,2.97,2.96,,,335,60,335,56,0,0,54
,,,,,N=4 M=3 t1,1786998550004.0,1786998675003.0,1020,454.6,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.6,10.3,-38.0,9.9,6.5,0.48,6.5,6.27,,,262,121,262,42,0,0,37
,,,,,N=5 converge,1786998675003.0,1786998740007.0,832,703.3,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-50.1,11.4,-47.0,10.9,1.66,0.28,1.66,1.6,,,232,98,232,60,0,0,47
,,,,,N=5 M=1 t1,1786998740007.0,1786998865005.0,1713,755.1,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.7,11.5,-46.0,11.7,3.82,2.93,3.82,3.82,,,493,84,493,72,0,0,67
,,,,,N=5 M=2 t1,1786998865005.0,1786998990003.0,1777,780.5,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.7,11.3,-46.6,10.5,2.77,1.89,2.77,2.73,,,490,71,490,60,0,0,59
,,,,,N=5 M=3 t1,1786998990003.0,1786999115004.0,1666,729.1,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.3,12.0,-46.5,10.6,3.59,0.47,3.59,3.49,,,474,106,474,68,0,0,67
,,,,,N=5 M=4 t1,1786999115004.0,1786999245026.0,1530,635.9,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-50.6,11.0,-45.2,11.5,5.04,0.24,5.04,5.01,,,449,144,449,78,0,0,114
,,,,,N=6 converge,1786999245026.0,1786999310057.0,1019,847.9,0.984,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.5,11.6,-42.7,9.9,0.62,0.68,0.61,0.55,9.8,,288,87,288,61,2,0,58
,,,,,N=6 M=1 t1,1786999310057.0,1786999435049.0,1944,844.4,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.7,11.1,-44.0,12.2,0.29,2.73,0.29,0.1,23.24,,557,97,557,69,2,0,64
,,,,,N=6 M=2 t1,1786999435049.0,1786999560040.0,1908,813.2,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.7,11.2,-44.5,9.6,0.28,0.09,0.28,0.24,7.65,,641,84,641,66,2,0,68
,,,,,N=6 M=3 t1,1786999560040.0,1786999685072.0,1927,825.4,0.992,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.1,10.8,-44.1,11.1,0.96,0.51,0.96,0.91,,,571,112,571,79,0,0,77
,,,,,N=6 M=4 t1,1786999685072.0,1786999810050.0,1969,845.4,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.8,11.0,-43.9,10.9,2.16,0.34,2.15,2.09,,,548,97,548,73,0,0,70
,,,,,N=6 M=5 t1,1786999810050.0,1786999925010.0,1751,815.8,1.0,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.1,10.8,-41.3,10.1,1.11,1.29,1.11,1.09,,,504,93,504,58,0,0,16
