device,buffer,peak,final,samples
18130c0f,dtnPackets,0,0,429
18130c0f,dtnRecipients,0,0,429
18130c0f,dtnBytes,0,0,429
18130c0f,ackIndex,0,0,429
18130c0f,sessions,7,7,429
18130c0f,reassembly,0,0,429
18130c0f,reassemblyBytes,0,0,429
18130c0f,sealedContentIds,1264,1264,429
18130c0f,outgoingTracked,0,0,429
18130c0f,traceBufferedBytes,219665,41763,429
44a266c4,dtnPackets,0,0,429
44a266c4,dtnRecipients,0,0,429
44a266c4,dtnBytes,0,0,429
44a266c4,ackIndex,0,0,429
44a266c4,sessions,7,7,429
44a266c4,reassembly,0,0,429
44a266c4,reassemblyBytes,0,0,429
44a266c4,sealedContentIds,1142,1142,429
44a266c4,outgoingTracked,0,0,429
44a266c4,traceBufferedBytes,153158,37185,429
929a022c,dtnPackets,0,0,429
929a022c,dtnRecipients,0,0,429
929a022c,dtnBytes,0,0,429
929a022c,ackIndex,0,0,429
929a022c,sessions,7,7,429
929a022c,reassembly,0,0,429
929a022c,reassemblyBytes,0,0,429
929a022c,sealedContentIds,1368,1368,429
929a022c,outgoingTracked,0,0,429
929a022c,traceBufferedBytes,280414,36558,429
b7d04acb,dtnPackets,0,0,429
b7d04acb,dtnRecipients,0,0,429
b7d04acb,dtnBytes,0,0,429
b7d04acb,ackIndex,0,0,429
b7d04acb,sessions,7,7,429
b7d04acb,reassembly,0,0,429
b7d04acb,reassemblyBytes,0,0,429
b7d04acb,sealedContentIds,743,743,429
b7d04acb,outgoingTracked,0,0,429
b7d04acb,traceBufferedBytes,180447,35001,429
be3a5ef5,dtnPackets,0,0,429
be3a5ef5,dtnRecipients,0,0,429
be3a5ef5,dtnBytes,0,0,429
be3a5ef5,ackIndex,0,0,429
be3a5ef5,sessions,7,7,429
be3a5ef5,reassembly,0,0,429
be3a5ef5,reassemblyBytes,0,0,429
be3a5ef5,sealedContentIds,871,871,429
be3a5ef5,outgoingTracked,0,0,429
be3a5ef5,traceBufferedBytes,125406,73953,429
c3cba742,dtnPackets,0,0,429
c3cba742,dtnRecipients,0,0,429
c3cba742,dtnBytes,0,0,429
c3cba742,ackIndex,0,0,429
c3cba742,sessions,7,7,429
c3cba742,reassembly,0,0,429
c3cba742,reassemblyBytes,0,0,429
c3cba742,sealedContentIds,793,793,429
c3cba742,outgoingTracked,0,0,429
c3cba742,traceBufferedBytes,290338,48247,429
d5aedd63,dtnPackets,0,0,429
d5aedd63,dtnRecipients,0,0,429
d5aedd63,dtnBytes,0,0,429
d5aedd63,ackIndex,0,0,429
d5aedd63,sessions,7,7,429
d5aedd63,reassembly,0,0,429
d5aedd63,reassemblyBytes,0,0,429
d5aedd63,sealedContentIds,736,736,429
d5aedd63,outgoingTracked,0,0,429
d5aedd63,traceBufferedBytes,72111,18390,429
f5aee069,dtnPackets,0,0,429
f5aee069,dtnRecipients,0,0,429
f5aee069,dtnBytes,0,0,429
f5aee069,ackIndex,0,0,429
f5aee069,sessions,7,7,429
f5aee069,reassembly,0,0,429
f5aee069,reassemblyBytes,0,0,429
f5aee069,sealedContentIds,595,595,429
f5aee069,outgoingTracked,0,0,429
f5aee069,traceBufferedBytes,184783,59080,429
