device,pop_n,m,rep,step,recorded,radio_up,established,conn_idx,ms_to_establish,in_flight,peripheral_links,total_links,ms_to_identified,ms_to_session,ms_to_converged
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1,1,N=2 M=1 t1,0,True,1,1,117423.0,1.0,3.0,5.0,118252.0,,117423.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,3,True,3,1,618.0,1.0,2.0,3.0,1629.0,,618.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,3,True,3,2,4960.0,1.0,3.0,5.0,,,4960.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,3,True,3,3,16893.0,1.0,3.0,5.0,17800.0,,19611.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,1,N=3 M=2 t1,1,True,1,1,237.0,1.0,3.0,5.0,968.0,,237.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,5,True,5,1,4951.0,1.0,4.0,5.0,5691.0,,16551.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,5,True,5,2,6571.0,1.0,4.0,6.0,7762.0,,6571.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,5,True,5,3,8694.0,1.0,5.0,8.0,9409.0,,10290.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,5,True,5,4,30497.0,1.0,4.0,7.0,31301.0,,32067.0
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,5,True,5,5,53268.0,1.0,4.0,7.0,54069.0,,61050.0
