device,pop_n,est_m1,knee_m,best_est,max_m,median_ms_establish_at_knee,median_ms_session_at_knee,median_ms_converged_at_knee,max_in_flight,max_peripheral_links,max_total_links,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1.0,1,1.0,1,117423.0,,117423.0,1.0,3.0,5.0,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,3.0,1,3.0,2,4960.0,,4960.0,1.0,3.0,5.0,1.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,5.0,1,5.0,3,8694.0,,16551.0,2.0,5.0,8.0,3.0,0.0,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,6.0,4,7.0,4,6584.0,,8232.0,3.0,6.0,11.0,6.0,4.0,7.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4.0,3,8.0,5,16775.5,,46583.0,4.0,6.0,11.0,5.0,8.0,6.0,6.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,6.0,6,13.0,6,40550.0,,74739.0,3.0,7.0,13.0,0.0,3.0,3.0,1.0,13.0,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,8,7.0,6,14.0,7,43187.5,,94583.0,6.0,7.0,13.0,13.0,8.0,7.0,3.0,14.0,12.0
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,2,0.0,1,0.0,1,,,,,,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,3.0,1,3.0,2,4673.0,,17664.0,1.0,3.0,5.0,0.0,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,4.0,3,7.0,3,9783.0,,38049.0,2.0,5.0,9.0,2.0,7.0,,,,
