_device,where,reason,count
c3cba742,bleSend,oversized,172
44a266c4,bleSend,noPath,88
f5aee069,bleRx,notReady,47
929a022c,bleSend,oversized,44
18130c0f,bleRx,notReady,41
929a022c,bleRx,notReady,31
44a266c4,bleSend,oversized,28
44a266c4,bleRx,notReady,17
44a266c4,bleSend,writeFailed,14
be3a5ef5,bleRx,notReady,11
d5aedd63,bleRx,notReady,7
b7d04acb,bleRx,notReady,5
d5aedd63,bleSend,noPath,4
b7d04acb,bleSend,noPath,4
b7d04acb,handshake,timeout,2
c3cba742,bleRx,notReady,2
44a266c4,bleSend:otherLeg,writeFailed,2
b7d04acb,bleSend,writeFailed,1
18130c0f,bleSend,writeFailed,1
929a022c,bleSend,writeFailed,1
d5aedd63,bleSend,writeFailed,1
f5aee069,decrypt,noSession,1
