device,cap,encounters,distinct_peers,hit_rate,walk_us_per_s,handshake_us_per_s,total_us_per_s,cpu_pct
18130c0f,8,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,16,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,32,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,64,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,128,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,256,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,512,44,7,1.0,0.6,0.0,0.6,0.0
18130c0f,1024,44,7,1.0,0.6,0.0,0.6,0.0
44a266c4,8,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,16,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,32,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,64,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,128,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,256,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,512,40,7,1.0,0.6,0.0,0.6,0.0
44a266c4,1024,40,7,1.0,0.6,0.0,0.6,0.0
929a022c,8,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,16,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,32,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,64,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,128,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,256,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,512,34,7,1.0,0.6,0.0,0.6,0.0
929a022c,1024,34,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,8,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,16,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,32,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,64,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,128,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,256,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,512,39,7,1.0,0.6,0.0,0.6,0.0
b7d04acb,1024,39,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,8,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,16,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,32,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,64,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,128,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,256,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,512,36,7,1.0,0.6,0.0,0.6,0.0
be3a5ef5,1024,36,7,1.0,0.6,0.0,0.6,0.0
c3cba742,8,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,16,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,32,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,64,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,128,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,256,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,512,31,7,1.0,0.6,0.0,0.6,0.0
c3cba742,1024,31,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,8,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,16,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,32,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,64,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,128,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,256,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,512,40,7,1.0,0.6,0.0,0.6,0.0
d5aedd63,1024,40,7,1.0,0.6,0.0,0.6,0.0
f5aee069,8,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,16,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,32,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,64,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,128,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,256,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,512,16,7,1.0,0.6,0.0,0.6,0.0
f5aee069,1024,16,7,1.0,0.6,0.0,0.6,0.0
