d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,power_charging_18130c0f,power_charging_44a266c4,power_charging_929a022c,power_charging_b7d04acb,power_charging_be3a5ef5,power_charging_c3cba742,power_charging_d5aedd63,power_charging_f5aee069,msg_sent,msg_recv,recv_rate,msg_delivered,msg_arrived,arrival_rate,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_gattConnected_s,t_identified_s,t_connected_s,t_session_s,t_usable_s,discovered,gattConnected,identified,connected,session,usable,drop
,,,,,N=2 converge,1787004900091.0,1787004995001.0,173,103.0,0.959,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-32.2,0.6,-31.8,0.4,5.45,4.0,5.45,5.39,,,39,5,39,4,0,0,22
,,,,,N=2 M=1 t1,1787004995001.0,1787005120001.0,222,97.0,0.968,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-33.0,4.5,-36.7,10.6,3.02,1.2,3.02,2.91,123.4,,65,13,65,12,2,0,3
,,,,,N=3 converge,1787005120001.0,1787005185002.0,323,282.5,0.938,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.6,12.0,-46.9,15.1,6.25,0.23,6.25,6.18,,,78,17,78,12,0,0,10
,,,,,N=3 M=1 t1,1787005185002.0,1787005310002.0,642,291.4,0.976,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.9,11.4,-47.4,12.9,5.73,3.18,5.73,5.58,,,139,22,139,16,0,0,15
,,,,,N=3 M=2 t1,1787005310002.0,1787005435001.0,683,305.8,0.984,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.4,11.4,-48.3,12.2,3.75,2.17,3.75,3.67,,,160,14,160,12,0,0,11
,,,,,N=4 converge,1787005435001.0,1787005500002.0,490,421.8,0.985,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.6,11.6,-44.5,11.2,2.46,1.08,2.45,2.37,8.58,,122,43,122,28,2,0,22
,,,,,N=4 M=1 t1,1787005500002.0,1787005625002.0,923,410.9,0.968,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.3,11.3,-43.9,11.6,9.7,4.09,9.7,9.59,22.33,,226,35,226,28,2,0,26
,,,,,N=4 M=2 t1,1787005625002.0,1787005750001.0,843,373.0,0.976,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.0,11.7,-41.1,11.3,4.66,3.04,4.66,4.58,,,245,27,245,21,0,0,19
,,,,,N=4 M=3 t1,1787005750001.0,1787005875001.0,964,428.2,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.8,12.1,-43.2,11.9,3.74,2.09,3.74,3.72,,,228,60,228,28,0,0,23
,,,,,N=5 converge,1787005875001.0,1787005940002.0,738,633.2,0.985,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-43.0,11.8,-35.0,13.0,3.61,0.34,3.61,3.54,,,175,96,175,40,0,0,42
,,,,,N=5 M=1 t1,1787005940002.0,1787006065002.0,1076,467.0,0.968,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-43.4,11.3,-35.4,13.3,6.48,4.1,6.48,6.4,,,294,66,294,50,0,0,39
,,,,,N=5 M=2 t1,1787006065002.0,1787006190001.0,825,326.4,0.8,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-42.9,11.7,-39.6,11.4,5.61,3.07,5.61,5.58,,,367,61,367,45,0,0,44
,,,,,N=5 M=3 t1,1787006190001.0,1787006315001.0,1115,467.0,0.984,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-43.3,12.1,-41.5,11.5,8.26,1.36,8.25,8.21,,,338,63,338,46,0,0,40
,,,,,N=5 M=4 t1,1787006315001.0,1787006440005.0,1335,579.8,1.0,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.5,12.1,-42.5,11.4,7.78,0.32,7.78,7.73,,,356,96,356,56,0,0,49
,,,,,N=6 converge,1787006440005.0,1787006505005.0,932,787.4,0.954,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.6,12.7,-41.7,14.3,4.8,0.04,4.8,4.79,,,244,94,244,52,0,0,49
,,,,,N=6 M=1 t1,1787006505005.0,1787006630003.0,1750,766.6,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-50.1,12.8,-46.3,11.6,4.07,2.48,4.07,4.03,,,450,94,450,65,0,0,62
,,,,,N=6 M=2 t1,1787006630003.0,1787006755003.0,1894,814.1,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.0,12.9,-45.3,13.6,2.8,1.3,2.8,2.79,,,547,85,547,68,0,0,58
,,,,,N=6 M=3 t1,1787006755003.0,1787006880003.0,1729,751.2,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-49.4,13.0,-45.3,15.3,0.01,0.33,0.01,3.08,,,455,126,455,74,0,0,80
,,,,,N=6 M=4 t1,1787006880003.0,1787007005004.0,1787,800.2,0.976,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.9,13.0,-38.8,13.3,4.94,3.77,4.94,4.89,,,355,81,355,50,0,0,63
,,,,,N=6 M=5 t1,1787007005004.0,1787007130005.0,1933,857.8,0.984,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-48.4,13.1,-43.2,14.6,3.92,2.72,3.92,3.88,,,421,86,421,56,0,0,38
,,,,,N=7 converge,1787007130005.0,1787007195002.0,1489,1297.0,1.015,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.0,14.1,-46.9,11.1,2.62,1.34,2.62,2.61,3.6,,245,78,245,50,4,0,47
,,,,,N=7 M=1 t1,1787007195002.0,1787007320005.0,2368,1042.5,1.0,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-54.3,13.7,-47.0,13.0,3.37,0.32,3.37,3.35,,,585,104,585,82,0,0,71
,,,,,N=7 M=2 t1,1787007320005.0,1787007445005.0,2492,1091.5,0.984,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-54.8,13.5,-46.3,14.8,5.18,4.0,5.18,5.17,,,611,75,611,64,0,0,63
,,,,,N=7 M=3 t1,1787007445005.0,1787007570003.0,3015,1349.3,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-52.6,14.1,-44.8,14.8,4.09,2.45,4.09,4.05,,,660,107,660,80,0,0,71
,,,,,N=7 M=4 t1,1787007570003.0,1787007695003.0,2557,1137.6,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-54.0,14.2,-46.0,16.8,3.22,0.87,3.22,3.21,,,534,137,534,90,0,0,96
,,,,,N=7 M=5 t1,1787007695003.0,1787007820007.0,2514,1109.7,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.3,13.7,-48.3,13.8,4.09,0.49,4.09,4.07,,,607,126,607,88,0,0,79
,,,,,N=7 M=6 t1,1787007820007.0,1787007950042.0,2640,1122.6,0.984,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.8,13.8,-44.5,14.2,5.06,3.44,5.06,5.06,,,590,144,590,97,0,0,145
,,,,,N=8 converge,1787007950042.0,1787008015060.0,1545,1323.3,1.0,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.0,13.6,-45.6,13.2,0.23,1.17,0.23,0.19,,,319,105,319,59,0,0,65
,,,,,N=8 M=1 t1,1787008015060.0,1787008140070.0,2698,1180.7,1.008,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-54.6,13.6,-43.4,13.0,0.1,1.6,0.1,0.1,,,620,109,620,78,0,0,78
,,,,,N=8 M=2 t1,1787008140070.0,1787008265079.0,2892,1292.1,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.6,12.9,-41.9,14.1,0.03,0.22,0.03,0.01,11.18,,580,147,580,84,2,0,83
,,,,,N=8 M=3 t1,1787008265079.0,1787008390069.0,3326,1491.5,1.0,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.8,13.4,-42.5,11.2,0.06,0.1,0.06,0.04,,,647,110,647,78,0,0,74
,,,,,N=8 M=4 t1,1787008390069.0,1787008515075.0,2852,1278.2,1.008,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-55.2,13.3,-42.3,9.7,0.06,0.11,0.06,1.37,,,460,144,460,76,0,0,79
,,,,,N=8 M=5 t1,1787008515075.0,1787008640069.0,3216,1453.0,1.008,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.9,13.4,-42.0,11.8,1.14,0.37,1.14,1.14,,,545,105,545,66,0,0,65
,,,,,N=8 M=6 t1,1787008640069.0,1787008765064.0,2965,1316.2,0.992,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-53.6,13.4,-42.7,12.9,0.13,0.34,0.13,0.12,,,554,150,554,89,0,0,87
,,,,,N=8 M=7 t1,1787008765064.0,1787008880011.0,2862,1414.6,1.0,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-54.3,13.0,-45.5,10.3,0.52,0.55,0.52,0.29,,,413,118,413,61,0,0,16
