device,buffer,peak,final,samples
18130c0f,dtnPackets,0,0,1471
18130c0f,dtnRecipients,0,0,1471
18130c0f,dtnBytes,0,0,1471
18130c0f,ackIndex,0,0,1471
18130c0f,sessions,9,9,1471
18130c0f,reassembly,0,0,1471
18130c0f,reassemblyBytes,0,0,1471
18130c0f,sealedContentIds,2445,2445,1471
18130c0f,outgoingTracked,0,0,1471
18130c0f,traceBufferedBytes,142054,23783,1471
44a266c4,dtnPackets,0,0,1471
44a266c4,dtnRecipients,0,0,1471
44a266c4,dtnBytes,0,0,1471
44a266c4,ackIndex,0,0,1471
44a266c4,sessions,8,8,1471
44a266c4,reassembly,0,0,1471
44a266c4,reassemblyBytes,0,0,1471
44a266c4,sealedContentIds,685,685,1471
44a266c4,outgoingTracked,0,0,1471
44a266c4,traceBufferedBytes,168564,27404,1471
4fecd00f,dtnPackets,0,0,1471
4fecd00f,dtnRecipients,0,0,1471
4fecd00f,dtnBytes,0,0,1471
4fecd00f,ackIndex,0,0,1471
4fecd00f,sessions,9,9,1471
4fecd00f,reassembly,0,0,1471
4fecd00f,reassemblyBytes,0,0,1471
4fecd00f,sealedContentIds,1019,1019,1471
4fecd00f,outgoingTracked,0,0,1471
4fecd00f,traceBufferedBytes,181613,27033,1471
6b819f64,dtnPackets,0,0,1471
6b819f64,dtnRecipients,0,0,1471
6b819f64,dtnBytes,0,0,1471
6b819f64,ackIndex,0,0,1471
6b819f64,sessions,9,9,1471
6b819f64,reassembly,3,0,1471
6b819f64,reassemblyBytes,170,0,1471
6b819f64,sealedContentIds,998,998,1471
6b819f64,outgoingTracked,0,0,1471
6b819f64,traceBufferedBytes,222931,52788,1471
929a022c,dtnPackets,0,0,118
929a022c,dtnRecipients,0,0,118
929a022c,dtnBytes,0,0,118
929a022c,ackIndex,0,0,118
929a022c,sessions,9,9,118
929a022c,reassembly,0,0,118
929a022c,reassemblyBytes,0,0,118
929a022c,sealedContentIds,131,131,118
929a022c,outgoingTracked,0,0,118
929a022c,traceBufferedBytes,173139,2146,118
b7d04acb,dtnPackets,0,0,1471
b7d04acb,dtnRecipients,0,0,1471
b7d04acb,dtnBytes,0,0,1471
b7d04acb,ackIndex,0,0,1471
b7d04acb,sessions,10,10,1471
b7d04acb,reassembly,0,0,1471
b7d04acb,reassemblyBytes,0,0,1471
b7d04acb,sealedContentIds,2814,2814,1471
b7d04acb,outgoingTracked,0,0,1471
b7d04acb,traceBufferedBytes,224139,40869,1471
be3a5ef5,dtnPackets,0,0,1471
be3a5ef5,dtnRecipients,0,0,1471
be3a5ef5,dtnBytes,0,0,1471
be3a5ef5,ackIndex,0,0,1471
be3a5ef5,sessions,9,9,1471
be3a5ef5,reassembly,0,0,1471
be3a5ef5,reassemblyBytes,0,0,1471
be3a5ef5,sealedContentIds,2846,2846,1471
be3a5ef5,outgoingTracked,0,0,1471
be3a5ef5,traceBufferedBytes,173755,19823,1471
c3cba742,dtnPackets,0,0,1471
c3cba742,dtnRecipients,0,0,1471
c3cba742,dtnBytes,0,0,1471
c3cba742,ackIndex,0,0,1471
c3cba742,sessions,9,9,1471
c3cba742,reassembly,0,0,1471
c3cba742,reassemblyBytes,0,0,1471
c3cba742,sealedContentIds,1179,1179,1471
c3cba742,outgoingTracked,0,0,1471
c3cba742,traceBufferedBytes,297536,29131,1471
d5aedd63,dtnPackets,0,0,1471
d5aedd63,dtnRecipients,0,0,1471
d5aedd63,dtnBytes,0,0,1471
d5aedd63,ackIndex,0,0,1471
d5aedd63,sessions,5,5,1471
d5aedd63,reassembly,0,0,1471
d5aedd63,reassemblyBytes,0,0,1471
d5aedd63,sealedContentIds,27,27,1471
d5aedd63,outgoingTracked,0,0,1471
d5aedd63,traceBufferedBytes,39015,2632,1471
dbac04ef,dtnPackets,0,0,1471
dbac04ef,dtnRecipients,0,0,1471
dbac04ef,dtnBytes,0,0,1471
dbac04ef,ackIndex,0,0,1471
dbac04ef,sessions,9,9,1471
dbac04ef,reassembly,2,0,1471
dbac04ef,reassemblyBytes,165,0,1471
dbac04ef,sealedContentIds,2227,2227,1471
dbac04ef,outgoingTracked,0,0,1471
dbac04ef,traceBufferedBytes,269609,56929,1471
f5aee069,dtnPackets,0,0,1471
f5aee069,dtnRecipients,0,0,1471
f5aee069,dtnBytes,0,0,1471
f5aee069,ackIndex,0,0,1471
f5aee069,sessions,10,10,1471
f5aee069,reassembly,2,0,1471
f5aee069,reassemblyBytes,133,0,1471
f5aee069,sealedContentIds,3117,3117,1471
f5aee069,outgoingTracked,0,0,1471
f5aee069,traceBufferedBytes,222416,67405,1471
