device,pop_n,m,rep,step,recorded,radio_up,established,conn_idx,ms_to_establish,in_flight,peripheral_links,total_links,ms_to_identified,ms_to_session,ms_to_converged,mtu_establish,mtu_identified
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1,1,N=2 M=1 t1,1,True,1,1,854.0,1.0,1.0,2.0,1546.0,,854.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,1,2,N=2 M=1 t2,0,True,0,0,,,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,2,True,2,1,1268.0,1.0,1.0,2.0,2054.0,,3489.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,1,N=3 M=1 t1,2,True,2,2,78829.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,2,N=3 M=1 t2,2,True,2,1,82.0,1.0,1.0,2.0,820.0,,82.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,1,2,N=3 M=1 t2,2,True,2,2,98123.0,1.0,1.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,1,N=3 M=2 t1,1,True,1,1,19208.0,1.0,2.0,4.0,19925.0,20162.0,20714.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,2,N=3 M=2 t2,3,True,3,1,2533.0,1.0,0.0,1.0,3313.0,,3951.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,2,N=3 M=2 t2,3,True,3,2,18981.0,1.0,2.0,4.0,19865.0,,20674.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2,2,N=3 M=2 t2,3,True,3,3,31213.0,1.0,2.0,4.0,32429.0,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,2,True,2,1,560.0,1.0,1.0,2.0,1411.0,,560.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,1,N=4 M=1 t1,2,True,2,2,19061.0,1.0,2.0,4.0,19783.0,,20475.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,2,N=4 M=1 t2,2,True,2,1,289.0,1.0,1.0,2.0,973.0,,289.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,1,2,N=4 M=1 t2,2,True,2,2,80574.0,1.0,2.0,4.0,81280.0,,81970.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,1,N=4 M=2 t1,2,True,2,1,11145.0,1.0,1.0,3.0,19021.0,,19728.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,1,N=4 M=2 t1,2,True,2,2,18161.0,1.0,2.0,4.0,19021.0,,19728.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,2,N=4 M=2 t2,6,True,6,1,1733.0,2.0,1.0,2.0,43829.0,,3324.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,2,N=4 M=2 t2,6,True,6,2,21057.0,2.0,3.0,5.0,68467.0,,69086.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,2,N=4 M=2 t2,6,True,6,3,21554.0,2.0,3.0,5.0,,,21554.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,2,N=4 M=2 t2,6,True,6,4,43071.0,1.0,0.0,1.0,43829.0,,44491.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,2,N=4 M=2 t2,6,True,6,5,67574.0,1.0,2.0,4.0,68467.0,,69086.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2,2,N=4 M=2 t2,6,True,6,6,86028.0,1.0,2.0,4.0,87381.0,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,1,N=4 M=3 t1,1,True,1,1,679.0,1.0,1.0,2.0,1329.0,,679.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,2,N=4 M=3 t2,3,True,3,1,3610.0,2.0,1.0,2.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,2,N=4 M=3 t2,3,True,3,2,5192.0,1.0,2.0,3.0,5868.0,,5192.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,3,2,N=4 M=3 t2,3,True,3,3,37068.0,1.0,1.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,1,N=5 M=1 t1,1,True,1,1,45289.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,2,N=5 M=1 t2,2,True,2,1,54.0,1.0,1.0,2.0,691.0,,54.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1,2,N=5 M=1 t2,2,True,2,2,114879.0,1.0,1.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,1,N=5 M=2 t1,1,True,1,1,32901.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,2,N=5 M=2 t2,2,True,2,1,4458.0,2.0,2.0,3.0,5524.0,,17657.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,2,2,N=5 M=2 t2,2,True,2,2,85115.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,2,True,2,1,2559.0,1.0,2.0,3.0,3303.0,,16365.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,1,N=5 M=3 t1,2,True,2,2,67129.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,2,N=5 M=3 t2,2,True,2,1,4791.0,2.0,2.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,3,2,N=5 M=3 t2,2,True,2,2,24077.0,1.0,2.0,3.0,24856.0,,24077.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,5,True,5,1,3282.0,1.0,1.0,2.0,3894.0,,3282.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,5,True,5,2,46087.0,1.0,1.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,5,True,5,3,53548.0,1.0,1.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,5,True,5,4,57070.0,1.0,1.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,1,N=5 M=4 t1,5,True,5,5,113503.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,2,N=5 M=4 t2,1,True,2,1,2671.0,1.0,2.0,3.0,3453.0,,19007.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,4,2,N=5 M=4 t2,1,True,2,2,116216.0,1.0,2.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,4,True,4,1,283.0,1.0,2.0,4.0,913.0,,283.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,4,True,4,2,39604.0,1.0,3.0,6.0,40331.0,,41119.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,4,True,4,3,49991.0,1.0,3.0,6.0,56148.0,,53735.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,1,N=6 M=1 t1,4,True,4,4,54214.0,1.0,4.0,7.0,56148.0,,54214.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,2,N=6 M=1 t2,2,True,2,1,40377.0,1.0,2.0,4.0,41161.0,,48752.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,1,2,N=6 M=1 t2,2,True,2,2,55621.0,1.0,3.0,5.0,56474.0,,55621.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,4,True,4,1,351.0,1.0,2.0,4.0,977.0,,351.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,4,True,4,2,12762.0,1.0,2.0,4.0,13476.0,,14190.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,4,True,4,3,34396.0,2.0,3.0,5.0,36057.0,,34396.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,1,N=6 M=2 t1,4,True,4,4,110669.0,1.0,4.0,7.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,1,3766.0,2.0,2.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,2,4755.0,2.0,4.0,6.0,20800.0,,24948.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,3,8669.0,2.0,3.0,4.0,20800.0,,24948.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,4,9430.0,2.0,4.0,6.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,5,14254.0,2.0,3.0,4.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,6,14568.0,2.0,4.0,6.0,20800.0,,24948.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,7,16505.0,1.0,5.0,7.0,17413.0,,18104.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,2,2,N=6 M=2 t2,8,True,8,8,19503.0,1.0,4.0,7.0,20800.0,,24948.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,3,True,3,1,1022.0,1.0,2.0,4.0,1767.0,,1022.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,3,True,3,2,59343.0,1.0,2.0,5.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,1,N=6 M=3 t1,3,True,3,3,96876.0,1.0,3.0,6.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,2,N=6 M=3 t2,5,True,5,1,3104.0,2.0,2.0,3.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,2,N=6 M=3 t2,5,True,5,2,3831.0,2.0,3.0,5.0,10843.0,,3831.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,2,N=6 M=3 t2,5,True,5,3,6857.0,1.0,4.0,5.0,11772.0,,6857.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,2,N=6 M=3 t2,5,True,5,4,10143.0,2.0,3.0,5.0,10843.0,,10143.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3,2,N=6 M=3 t2,5,True,5,5,55385.0,1.0,3.0,6.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,5,True,5,1,2967.0,2.0,3.0,5.0,84780.0,,20886.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,5,True,5,2,22248.0,2.0,3.0,5.0,23091.0,,22248.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,5,True,5,3,84032.0,1.0,2.0,4.0,84780.0,,85679.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,5,True,5,4,100682.0,1.0,2.0,4.0,,,104403.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,1,N=6 M=4 t1,5,True,5,5,104513.0,1.0,2.0,4.0,105450.0,,104513.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,2,N=6 M=4 t2,4,True,4,1,1143.0,1.0,1.0,2.0,1880.0,,2102.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,2,N=6 M=4 t2,4,True,4,2,4009.0,1.0,3.0,5.0,5720.0,,33840.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,2,N=6 M=4 t2,4,True,4,3,31573.0,1.0,3.0,5.0,35604.0,,33840.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,4,2,N=6 M=4 t2,4,True,4,4,80360.0,1.0,3.0,5.0,81326.0,,80360.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,1,N=6 M=5 t1,3,True,3,1,3694.0,1.0,1.0,2.0,4873.0,,6778.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,1,N=6 M=5 t1,3,True,3,2,8045.0,1.0,4.0,6.0,9534.0,,8216.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,1,N=6 M=5 t1,3,True,3,3,48310.0,2.0,3.0,5.0,48975.0,,48310.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,2,N=6 M=5 t2,4,True,4,1,103.0,1.0,1.0,2.0,728.0,,103.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,2,N=6 M=5 t2,4,True,4,2,2643.0,1.0,2.0,4.0,3878.0,,4420.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,2,N=6 M=5 t2,4,True,4,3,81541.0,1.0,4.0,7.0,82248.0,,82992.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,5,2,N=6 M=5 t2,4,True,4,4,90935.0,1.0,3.0,6.0,91838.0,,90935.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,1,1,N=7 M=1 t1,3,True,3,1,2715.0,1.0,2.0,4.0,3338.0,,27831.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,1,1,N=7 M=1 t1,3,True,3,2,5051.0,1.0,3.0,6.0,6037.0,,19595.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,1,1,N=7 M=1 t1,3,True,3,3,24906.0,1.0,3.0,7.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,1,2,N=7 M=1 t2,3,True,3,1,1440.0,1.0,2.0,4.0,2420.0,,1440.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,1,2,N=7 M=1 t2,3,True,3,2,3911.0,1.0,3.0,6.0,4616.0,,3911.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,1,2,N=7 M=1 t2,3,True,3,3,77284.0,1.0,3.0,7.0,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,2,1,N=7 M=2 t1,4,True,4,1,232.0,1.0,3.0,5.0,998.0,,232.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,2,1,N=7 M=2 t1,4,True,4,2,3295.0,1.0,3.0,6.0,3904.0,,5345.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,2,1,N=7 M=2 t1,4,True,4,3,24318.0,2.0,3.0,6.0,39230.0,,24318.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,2,1,N=7 M=2 t1,4,True,4,4,86519.0,1.0,3.0,6.0,87229.0,,87834.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,2,2,N=7 M=2 t2,6,True,6,1,1131.0,1.0,2.0,4.0,2570.0,,21938.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,2,2,N=7 M=2 t2,6,True,6,2,4288.0,2.0,4.0,7.0,5412.0,,4288.0,,
