device,pop_n,est_m1,knee_m,best_est,max_m,median_ms_establish_at_knee,median_ms_session_at_knee,median_ms_converged_at_knee,max_in_flight,max_peripheral_links,max_total_links,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,est_m9,est_m10
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,0.5,1,0.5,1,854.0,,854.0,1.0,1.0,2.0,,,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,2.0,1,2.0,2,40048.5,,1785.5,1.0,2.0,4.0,2.0,,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,2.0,2,4.0,3,21305.5,,21554.0,2.0,3.0,5.0,4.0,2.0,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,1.5,4,3.5,4,53548.0,,11144.5,2.0,2.0,4.0,1.5,2.0,3.5,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,3.0,2,6.0,5,13508.0,,24948.0,2.0,5.0,7.0,6.0,4.0,4.5,3.5,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,7,3.0,2,5.5,6,22282.5,,21938.0,2.0,6.0,9.0,5.0,5.0,2.5,5.5,4.5,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,8,5.0,2,7.0,7,27096.5,,27060.0,5.0,6.0,11.0,7.0,6.0,5.0,2.0,5.0,4.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,9,6.0,1,6.0,8,18105.0,,24489.0,5.0,5.0,10.0,3.0,3.5,0.5,1.0,0.5,2.5,1.5,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,10,2.0,3,5.5,9,41373.0,,46809.0,6.0,5.0,10.0,3.5,5.5,3.5,2.5,3.0,0.5,1.0,0.5,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,11,1.0,1,1.0,10,31485.0,,31485.0,5.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,0.0,1,0.5,2,,,,1.0,1.0,2.0,0.5,,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,1.0,1,1.0,3,50276.0,,50276.0,1.0,1.0,2.0,1.0,1.0,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,0.5,1,1.0,4,188.0,,188.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,1.5,1,1.5,5,62152.0,73240.0,62152.0,1.0,1.0,2.0,1.5,1.0,1.0,0.5,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,7,0.0,2,2.0,6,27921.5,952.0,27921.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,8,1.0,1,1.5,7,44196.0,,44196.0,1.0,1.0,2.0,1.5,0.5,0.0,0.0,1.0,0.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,9,1.0,1,1.0,8,71376.0,,71376.0,3.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,10,1.0,1,1.0,9,67874.5,,67874.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,11,0.5,1,1.0,10,39960.0,,39960.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
