_device,where,reason,count
dbac04ef,bleSend,oversized,3132
4fecd00f,bleSend,oversized,976
b7d04acb,bleSend,oversized,893
f5aee069,bleSend,oversized,788
c3cba742,bleSend,oversized,669
6b819f64,bleSend,oversized,310
be3a5ef5,bleSend,oversized,267
18130c0f,bleRx,notReady,94
929a022c,bleSend,oversized,84
18130c0f,bleSend,oversized,80
b7d04acb,bleRx,notReady,75
be3a5ef5,bleRx,notReady,48
f5aee069,bleRx,notReady,26
b7d04acb,bleSend,noPath,16
44a266c4,bleRx,notReady,13
c3cba742,bleSend,noPath,8
b7d04acb,bleSend,writeFailed,8
6b819f64,reassembly,timeout,6
6b819f64,bleRx,notReady,5
6b819f64,decrypt,noSession,4
be3a5ef5,bleSend,noPath,4
6b819f64,handshake,timeout,3
4fecd00f,decrypt,noSession,2
929a022c,bleSend,writeFailed,2
dbac04ef,reassembly,timeout,2
dbac04ef,bleRx,notReady,2
c3cba742,decrypt,noSession,2
f5aee069,reassembly,timeout,2
be3a5ef5,bleSend,writeFailed,2
c3cba742,bleRx,notReady,1
be3a5ef5,bleStale,sweep,1
4fecd00f,bleSend,writeFailed,1
be3a5ef5,bleSend:otherLeg,writeFailed,1
d5aedd63,testbed,bounceNotActive,1
4fecd00f,bleRx,notReady,1
dbac04ef,decrypt,noSession,1
b7d04acb,bleSend:otherLeg,writeFailed,1
18130c0f,handshake,timeout,1
18130c0f,bleSend,writeFailed,1
f5aee069,bleSend,writeFailed,1
929a022c,bleStale,sweep,1
