device,t,elapsed_s,levelPct,mA,mV,mW,tempC,chargeCounterUah
6b819f64,1787066101703.0,0.0,31.0,1025.3,3774.0,3869.5,40.2,1276000.0
6b819f64,1787066111702.0,10.0,31.0,287.8,3774.0,1086.2,40.2,1274000.0
6b819f64,1787066121704.0,20.0,31.0,208.8,3774.0,787.8,40.2,1274000.0
6b819f64,1787066131709.0,30.0,31.0,61.9,3774.0,233.5,40.2,1274000.0
6b819f64,1787066141701.0,40.0,31.0,24.1,3774.0,90.8,40.2,1274000.0
6b819f64,1787066151709.0,50.0,31.0,115.6,3787.0,437.9,39.9,1276000.0
6b819f64,1787066161703.0,60.0,31.0,722.2,3787.0,2734.9,39.9,1274000.0
6b819f64,1787066171714.0,70.0,31.0,133.4,3787.0,505.3,39.9,1274000.0
6b819f64,1787066181709.0,80.0,31.0,124.1,3787.0,469.8,39.9,1274000.0
6b819f64,1787066191706.0,90.0,31.0,149.4,3808.0,568.8,40.3,1274000.0
6b819f64,1787066201707.0,100.0,31.0,36.2,3808.0,138.0,40.3,1274000.0
6b819f64,1787066211700.0,110.0,31.0,476.6,3810.0,1815.7,40.3,1274000.0
6b819f64,1787066221707.0,120.0,31.0,483.1,3810.0,1840.7,40.3,1274000.0
6b819f64,1787066231716.0,130.0,31.0,189.7,3810.0,722.7,40.3,1274000.0
6b819f64,1787066241706.0,140.0,31.0,92.5,3810.0,352.4,40.3,1274000.0
6b819f64,1787066251708.0,150.0,31.0,144.4,3810.0,550.1,40.3,1276000.0
6b819f64,1787066261732.0,160.0,31.0,30.9,3810.0,117.9,40.3,1276000.0
6b819f64,1787066271748.0,170.0,31.0,185.3,3822.0,708.3,40.6,1276000.0
6b819f64,1787066281706.0,180.0,31.0,42.5,3822.0,162.4,40.6,1276000.0
6b819f64,1787066291717.0,190.0,31.0,146.6,3822.0,560.2,40.6,1276000.0
6b819f64,1787066301713.0,200.0,31.0,83.1,3822.0,317.7,40.6,1276000.0
6b819f64,1787066311716.0,210.0,31.0,193.4,3822.0,739.3,40.6,1276000.0
6b819f64,1787066321701.0,220.0,31.0,75.9,3822.0,290.2,40.6,1276000.0
6b819f64,1787066331713.0,230.0,31.0,180.3,3820.0,688.8,40.7,1278000.0
6b819f64,1787066341702.0,240.0,31.0,159.7,3820.0,610.0,40.7,1278000.0
6b819f64,1787066351707.0,250.0,31.0,79.1,3820.0,302.0,40.7,1278000.0
6b819f64,1787066361707.0,260.0,31.0,165.0,3820.0,630.3,40.7,1278000.0
6b819f64,1787066371708.0,270.0,31.0,139.4,3820.0,532.4,40.7,1278000.0
6b819f64,1787066381703.0,280.0,31.0,33.1,3801.0,125.9,40.7,1278000.0
6b819f64,1787066391713.0,290.0,31.0,145.3,3804.0,552.8,41.0,1278000.0
6b819f64,1787066401737.0,300.0,31.0,205.6,3804.0,782.2,41.0,1278000.0
6b819f64,1787066411723.0,310.0,31.0,186.6,3804.0,709.7,41.0,1278000.0
6b819f64,1787066421709.0,320.0,31.0,217.2,3804.0,826.2,41.0,1278000.0
6b819f64,1787066431706.0,330.0,31.0,183.4,3822.0,701.1,40.8,1282000.0
6b819f64,1787066441703.0,340.0,31.0,107.5,3822.0,410.9,40.8,1282000.0
6b819f64,1787066451704.0,350.0,31.0,59.7,3795.0,226.5,40.8,1282000.0
