device,cap,encounters,distinct_peers,hit_rate,walk_us_per_s,handshake_us_per_s,total_us_per_s,cpu_pct
18130c0f,8,88,9,1.0,1.7,0.0,1.7,0.0
18130c0f,16,88,9,1.0,1.9,0.0,1.9,0.0
18130c0f,32,88,9,1.0,1.9,0.0,1.9,0.0
18130c0f,64,88,9,1.0,1.9,0.0,1.9,0.0
18130c0f,128,88,9,1.0,1.9,0.0,1.9,0.0
18130c0f,256,88,9,1.0,1.9,0.0,1.9,0.0
18130c0f,512,88,9,1.0,1.9,0.0,1.9,0.0
18130c0f,1024,88,9,1.0,1.9,0.0,1.9,0.0
44a266c4,8,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,16,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,32,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,64,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,128,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,256,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,512,79,8,1.0,1.7,0.0,1.7,0.0
44a266c4,1024,79,8,1.0,1.7,0.0,1.7,0.0
4fecd00f,8,57,9,1.0,1.7,0.0,1.7,0.0
4fecd00f,16,57,9,1.0,1.9,0.0,1.9,0.0
4fecd00f,32,57,9,1.0,1.9,0.0,1.9,0.0
4fecd00f,64,57,9,1.0,1.9,0.0,1.9,0.0
4fecd00f,128,57,9,1.0,1.9,0.0,1.9,0.0
4fecd00f,256,57,9,1.0,1.9,0.0,1.9,0.0
4fecd00f,512,57,9,1.0,1.9,0.0,1.9,0.0
4fecd00f,1024,57,9,1.0,1.9,0.0,1.9,0.0
6b819f64,8,36,9,1.0,1.7,0.0,1.7,0.0
6b819f64,16,36,9,1.0,1.9,0.0,1.9,0.0
6b819f64,32,36,9,1.0,1.9,0.0,1.9,0.0
6b819f64,64,36,9,1.0,1.9,0.0,1.9,0.0
6b819f64,128,36,9,1.0,1.9,0.0,1.9,0.0
6b819f64,256,36,9,1.0,1.9,0.0,1.9,0.0
6b819f64,512,36,9,1.0,1.9,0.0,1.9,0.0
6b819f64,1024,36,9,1.0,1.9,0.0,1.9,0.0
929a022c,8,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,16,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,32,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,64,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,128,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,256,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,512,7,7,0.0,1.5,135.3,136.8,0.014
929a022c,1024,7,7,0.0,1.5,135.3,136.8,0.014
b7d04acb,8,104,10,1.0,1.7,0.0,1.7,0.0
b7d04acb,16,104,10,1.0,2.1,0.0,2.1,0.0
b7d04acb,32,104,10,1.0,2.1,0.0,2.1,0.0
b7d04acb,64,104,10,1.0,2.1,0.0,2.1,0.0
b7d04acb,128,104,10,1.0,2.1,0.0,2.1,0.0
b7d04acb,256,104,10,1.0,2.1,0.0,2.1,0.0
b7d04acb,512,104,10,1.0,2.1,0.0,2.1,0.0
b7d04acb,1024,104,10,1.0,2.1,0.0,2.1,0.0
be3a5ef5,8,83,9,1.0,1.7,0.0,1.7,0.0
be3a5ef5,16,83,9,1.0,1.9,0.0,1.9,0.0
be3a5ef5,32,83,9,1.0,1.9,0.0,1.9,0.0
be3a5ef5,64,83,9,1.0,1.9,0.0,1.9,0.0
be3a5ef5,128,83,9,1.0,1.9,0.0,1.9,0.0
be3a5ef5,256,83,9,1.0,1.9,0.0,1.9,0.0
be3a5ef5,512,83,9,1.0,1.9,0.0,1.9,0.0
be3a5ef5,1024,83,9,1.0,1.9,0.0,1.9,0.0
c3cba742,8,42,9,1.0,1.7,0.0,1.7,0.0
c3cba742,16,42,9,1.0,1.9,0.0,1.9,0.0
c3cba742,32,42,9,1.0,1.9,0.0,1.9,0.0
c3cba742,64,42,9,1.0,1.9,0.0,1.9,0.0
c3cba742,128,42,9,1.0,1.9,0.0,1.9,0.0
c3cba742,256,42,9,1.0,1.9,0.0,1.9,0.0
c3cba742,512,42,9,1.0,1.9,0.0,1.9,0.0
c3cba742,1024,42,9,1.0,1.9,0.0,1.9,0.0
d5aedd63,8,3,3,0.0,0.6,58.0,58.6,0.006
d5aedd63,16,3,3,0.0,0.6,58.0,58.6,0.006
d5aedd63,32,3,3,0.0,0.6,58.0,58.6,0.006
d5aedd63,64,3,3,0.0,0.6,58.0,58.6,0.006
