d,payloadB,lanes,leg,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,power_charging_18130c0f,power_charging_44a266c4,power_charging_4fecd00f,power_charging_6b819f64,power_charging_929a022c,power_charging_b7d04acb,power_charging_be3a5ef5,power_charging_c3cba742,power_charging_d5aedd63,power_charging_dbac04ef,power_charging_f5aee069,msg_sent,msg_recv,recv_rate,msg_delivered,msg_arrived,arrival_rate,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_gattConnected_s,t_identified_s,t_connected_s,t_session_s,t_usable_s,discovered,gattConnected,identified,connected,session,usable,drop,power_mA_6b819f64,energy_mAh_6b819f64
,,,,,N=2 converge,1787054100088.0,1787054195002.0,165,97.4,0.938,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-32.0,1.1,-31.4,0.5,4.03,2.49,4.03,4.01,,,42,5,42,4,0,0,42,,
,,,,,N=2 M=1 t1,1787054195002.0,1787054320002.0,208,92.6,0.888,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-31.8,1.2,-31.4,1.3,5.58,4.77,5.58,5.57,,,54,4,54,4,0,0,2,,
,,,,,N=2 M=1 t2,1787054320002.0,1787054445001.0,224,99.4,0.936,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-32.9,4.6,-31.4,0.7,4.34,3.6,4.34,4.3,,,53,4,53,4,0,0,3,,
,,,,,N=3 converge,1787054445001.0,1787054510001.0,311,274.2,0.985,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-47.3,11.1,-36.6,10.7,3.13,2.27,3.13,3.11,44.1,,46,8,46,8,2,0,4,,
,,,,,N=3 M=1 t1,1787054510001.0,1787054635001.0,577,260.6,1.0,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.6,11.3,-47.0,11.1,2.61,0.27,2.61,2.56,,,97,18,97,10,0,0,11,,
,,,,,N=3 M=1 t2,1787054635001.0,1787054760002.0,590,276.5,0.976,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.8,11.1,-31.5,0.5,4.86,4.16,4.86,4.85,,,54,6,54,4,0,0,6,,
,,,,,N=3 M=2 t1,1787054760002.0,1787054885001.0,584,267.4,0.984,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.8,11.1,-43.3,11.8,4.2,3.35,4.2,4.19,24.96,,98,12,98,8,2,0,4,,
,,,,,N=3 M=2 t2,1787054885001.0,1787055010002.0,552,252.5,0.992,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.0,11.3,-42.3,11.7,8.27,7.46,8.26,8.18,,,74,10,74,9,0,0,10,,
,,,,,N=4 converge,1787055010002.0,1787055075002.0,451,411.7,1.0,True,True,True,True,True,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-44.6,10.3,-31.6,0.5,7.47,0.27,7.47,7.46,,,31,22,31,10,0,0,9,,
,,,,,N=4 M=1 t1,1787055075002.0,1787055200001.0,537,244.3,0.968,True,True,True,True,,True,True,True,True,True,True,0,0,,0,0,,,,,,,,,,,-46.2,11.3,-41.4,11.1,5.47,4.67,5.47,5.44,,,97,8,97,8,0,0,8,,
