device,t,elapsed_s,levelPct,mA,mV,mW,tempC,chargeCounterUah
0e7dde40,1785921620675,0.0,100.0,358.4,4344.0,1557.0,32.7,2639622.0
0e7dde40,1785921650694,30.0,100.0,852.2,4344.0,3701.9,32.7,2633103.0
0e7dde40,1785921680690,60.0,100.0,985.1,4344.0,4279.3,32.7,2625435.0
0e7dde40,1785921720758,100.1,100.0,364.5,4344.0,1583.5,32.7,2620358.0
0e7dde40,1785921750685,130.0,99.0,742.3,4344.0,3224.7,32.7,2616353.0
0e7dde40,1785921780866,160.2,99.0,382.7,4344.0,1662.4,32.7,2610625.0
0e7dde40,1785921810715,190.0,99.0,352.8,4344.0,1532.5,32.7,2607069.0
0e7dde40,1785921840695,220.0,99.0,419.3,4344.0,1821.5,32.7,2603658.0
0e7dde40,1785921870696,250.0,99.0,698.2,4344.0,3033.1,32.7,2598974.0
0e7dde40,1785921900697,280.0,99.0,364.4,4344.0,1582.9,32.7,2594487.0
0e7dde40,1785921912279,291.6,99.0,364.4,4215.0,1535.8,34.5,2594487.0
0e7dde40,1785921930700,310.0,99.0,383.9,4215.0,1618.2,34.5,2591011.0
0e7dde40,1785921960709,340.0,99.0,375.4,4215.0,1582.2,34.5,2587423.0
0e7dde40,1785921990720,370.0,99.0,377.3,4215.0,1590.5,34.5,2583958.0
0e7dde40,1785922020785,400.1,98.0,350.5,4215.0,1477.3,34.5,2580604.0
0e7dde40,1785922050696,430.0,98.0,483.2,4215.0,2036.9,34.5,2577095.0
0e7dde40,1785922080924,460.2,98.0,488.1,4215.0,2057.4,34.5,2572745.0
0e7dde40,1785922120727,500.1,98.0,532.8,4215.0,2245.9,34.5,2568294.0
0e7dde40,1785922143770,523.1,98.0,339.5,4215.0,1431.0,34.5,2564722.0
0e7dde40,1785922160705,540.0,98.0,339.5,4205.0,1427.6,34.7,2564722.0
0e7dde40,1785922180725,560.0,97.0,350.3,4205.0,1473.2,34.7,2561295.0
0e7dde40,1785922217330,596.7,97.0,447.2,4205.0,1880.6,34.7,2557601.0
0e7dde40,1785922240719,620.0,97.0,330.8,4205.0,1391.0,34.7,2554316.0
0e7dde40,1785922260725,640.0,97.0,330.8,4203.0,1390.4,34.7,2554316.0
0e7dde40,1785922274455,653.8,97.0,503.2,4203.0,2115.1,34.7,2550903.0
0e7dde40,1785922300705,680.0,97.0,382.7,4203.0,1608.4,34.7,2547541.0
0e7dde40,1785922334108,713.4,97.0,398.4,4203.0,1674.5,34.7,2544072.0
0e7dde40,1785922360693,740.0,97.0,346.5,4203.0,1456.4,34.7,2540710.0
0e7dde40,1785922390719,770.0,97.0,347.1,4203.0,1459.0,34.7,2537281.0
0e7dde40,1785922421745,801.1,97.0,359.6,4203.0,1511.6,34.7,2533815.0
0e7dde40,1785922450719,830.0,96.0,363.3,4203.0,1527.0,34.7,2530391.0
0e7dde40,1785922490706,870.0,96.0,339.5,4203.0,1426.9,34.7,2527052.0
0e7dde40,1785922511955,891.3,96.0,435.8,4203.0,1831.6,34.7,2523700.0
0e7dde40,1785922551647,931.0,96.0,370.5,4203.0,1557.1,34.7,2520318.0
0e7dde40,1785922580693,960.0,96.0,365.4,4203.0,1536.0,34.7,2516851.0
0e7dde40,1785922601047,980.4,95.0,365.4,4182.0,1528.3,35.0,2516851.0
0e7dde40,1785922610722,990.0,95.0,361.2,4182.0,1510.4,35.0,2513288.0
0e7dde40,1785922642409,1021.7,95.0,442.3,4182.0,1849.9,35.0,2509925.0
0e7dde40,1785922670689,1050.0,95.0,368.2,4182.0,1539.8,35.0,2506557.0
0e7dde40,1785922700711,1080.0,95.0,439.6,4182.0,1838.4,35.0,2503005.0
0e7dde40,1785922732356,1111.7,95.0,443.7,4182.0,1855.6,35.0,2499675.0
0e7dde40,1785922760699,1140.0,95.0,404.2,4164.0,1683.1,35.2,2496218.0
0e7dde40,1785922790720,1170.0,95.0,460.0,4164.0,1915.6,35.2,2492722.0
0e7dde40,1785922820696,1200.0,95.0,503.5,4164.0,2096.7,35.2,2489325.0
0e7dde40,1785922850709,1230.0,94.0,414.6,4164.0,1726.3,35.2,2485738.0
0e7dde40,1785922882456,1261.8,94.0,427.4,4164.0,1779.7,35.2,2482190.0
0e7dde40,1785922920692,1300.0,94.0,440.8,4164.0,1835.6,35.2,2478807.0
0e7dde40,1785922932853,1312.2,94.0,440.8,4156.0,1832.1,35.5,2478807.0
0e7dde40,1785922950713,1330.0,94.0,366.7,4156.0,1523.9,35.5,2475240.0
0e7dde40,1785922982461,1361.8,94.0,431.4,4156.0,1792.7,35.5,2471916.0
0e7dde40,1785923010706,1390.0,93.0,372.9,4156.0,1549.9,35.5,2468318.0
0e7dde40,1785923040703,1420.0,93.0,405.0,4156.0,1683.0,35.5,2464777.0
0e7dde40,1785923071182,1450.5,93.0,365.1,4156.0,1517.5,35.5,2461322.0
0e7dde40,1785923100693,1480.0,93.0,386.2,4156.0,1605.0,35.5,2457783.0
0e7dde40,1785923130704,1510.0,93.0,349.7,4156.0,1453.5,35.5,2454463.0
0e7dde40,1785923163712,1543.0,93.0,461.6,4156.0,1918.3,35.5,2450912.0
0e7dde40,1785923193289,1572.6,93.0,533.6,4156.0,2217.6,35.5,2447533.0
0e7dde40,1785923220715,1600.0,93.0,546.6,4156.0,2271.5,35.5,2444047.0
0e7dde40,1785923251595,1630.9,93.0,529.9,4156.0,2202.4,35.5,2440434.0
0e7dde40,1785923260706,1640.0,92.0,529.9,4127.0,2187.0,35.7,2440434.0
0e7dde40,1785923291686,1671.0,92.0,376.0,4127.0,1551.6,35.7,2437046.0
0e7dde40,1785923320698,1700.0,92.0,378.6,4127.0,1562.4,35.7,2433524.0
0e7dde40,1785923351579,1730.9,92.0,377.3,4127.0,1557.3,35.7,2430042.0
0e7dde40,1785923360712,1740.0,92.0,377.3,4142.0,1563.0,35.7,2430042.0
0e7dde40,1785923380690,1760.0,92.0,513.9,4142.0,2128.6,35.7,2426595.0
0e7dde40,1785923411415,1790.7,92.0,428.2,4142.0,1773.4,35.7,2423006.0
0e7dde40,1785923440703,1820.0,91.0,517.4,4142.0,2143.2,35.7,2419508.0
0e7dde40,1785923470690,1850.0,91.0,369.3,4142.0,1529.5,35.7,2415917.0
0e7dde40,1785923500708,1880.0,91.0,558.9,4142.0,2315.1,35.7,2412384.0
0e7dde40,1785923530705,1910.0,91.0,358.1,4142.0,1483.3,35.7,2408883.0
0e7dde40,1785923561841,1941.2,91.0,511.5,4142.0,2118.5,35.7,2405348.0
