device,buffer,peak,final,samples
2537c7bf,dtnPackets,8192,8192,44
2537c7bf,dtnRecipients,3,3,44
2537c7bf,dtnBytes,1178318,1106336,44
2537c7bf,preSeal,0,0,44
2537c7bf,preSealBytes,0,0,44
2537c7bf,ackIndex,6713,6636,44
2537c7bf,sessions,3,3,44
2537c7bf,reassembly,0,0,44
2537c7bf,reassemblyBytes,0,0,44
2537c7bf,sealedContentIds,6749,6749,44
2537c7bf,outgoingTracked,1000,1000,44
2537c7bf,traceBufferedBytes,5847909,852968,44
5abc4da1,dtnPackets,8192,8107,44
5abc4da1,dtnRecipients,3,3,44
5abc4da1,dtnBytes,1378030,1283398,44
5abc4da1,preSeal,0,0,44
5abc4da1,preSealBytes,0,0,44
5abc4da1,ackIndex,8192,7933,44
5abc4da1,sessions,3,3,44
5abc4da1,reassembly,0,0,44
5abc4da1,reassemblyBytes,0,0,44
5abc4da1,sealedContentIds,1051,1051,44
5abc4da1,outgoingTracked,1000,1000,44
5abc4da1,traceBufferedBytes,5950348,840694,44
907a2f08,dtnPackets,8192,8185,44
907a2f08,dtnRecipients,3,3,44
907a2f08,dtnBytes,1093052,1080034,44
907a2f08,preSeal,0,0,44
907a2f08,preSealBytes,0,0,44
907a2f08,ackIndex,4748,4575,44
907a2f08,sessions,3,3,44
907a2f08,reassembly,0,0,44
907a2f08,reassemblyBytes,0,0,44
907a2f08,sealedContentIds,7327,7327,44
907a2f08,outgoingTracked,1000,1000,44
907a2f08,traceBufferedBytes,6296157,795856,44
d8254397,dtnPackets,8192,8192,44
d8254397,dtnRecipients,3,3,44
d8254397,dtnBytes,1328576,1224992,44
d8254397,preSeal,0,0,44
d8254397,preSealBytes,0,0,44
d8254397,ackIndex,8192,7934,44
d8254397,sessions,3,3,44
d8254397,reassembly,0,0,44
d8254397,reassemblyBytes,0,0,44
d8254397,sealedContentIds,3852,3852,44
d8254397,outgoingTracked,1000,1000,44
d8254397,traceBufferedBytes,6495694,821625,44
