device,t,elapsed_s,levelPct,mA,mV,mW,tempC,chargeCounterUah
2537c7bf,1786143503807,0.0,94.0,381.6,4232.0,1614.8,32.6,3500000.0
2537c7bf,1786143513806,10.0,94.0,254.1,4232.0,1075.2,32.6,3500000.0
2537c7bf,1786143523805,20.0,94.0,161.9,4243.0,686.8,32.9,3498000.0
2537c7bf,1786143533835,30.0,94.0,227.2,4241.0,963.5,32.9,3498000.0
2537c7bf,1786143543802,40.0,94.0,322.2,4241.0,1366.4,32.9,3496000.0
2537c7bf,1786143553813,50.0,94.0,173.1,4241.0,734.2,32.9,3496000.0
2537c7bf,1786143563816,60.0,94.0,235.3,4241.0,998.0,32.9,3496000.0
2537c7bf,1786143573818,70.0,94.0,173.1,4241.0,734.2,32.9,3494000.0
2537c7bf,1786143583809,80.0,94.0,293.8,4241.0,1245.8,32.9,3494000.0
2537c7bf,1786143593802,90.0,94.0,200.6,4241.0,850.9,32.9,3494000.0
2537c7bf,1786143603798,100.0,94.0,500.3,4241.0,2121.8,32.9,3492000.0
2537c7bf,1786143613810,110.0,94.0,810.6,4241.0,3437.9,32.9,3490000.0
2537c7bf,1786143623809,120.0,94.0,565.9,4207.0,2380.9,33.2,3488000.0
2537c7bf,1786143633804,130.0,94.0,427.5,4207.0,1798.5,33.2,3488000.0
2537c7bf,1786143643805,140.0,94.0,513.4,4199.0,2155.9,33.2,3486000.0
2537c7bf,1786143653818,150.0,94.0,192.8,4216.0,812.9,33.2,3484000.0
2537c7bf,1786143663815,160.0,94.0,469.1,4242.0,1989.8,33.2,3484000.0
2537c7bf,1786143673811,170.0,94.0,149.7,4241.0,634.8,33.0,3484000.0
2537c7bf,1786143683827,180.0,94.0,650.6,4241.0,2759.3,33.0,3482000.0
2537c7bf,1786143693809,190.0,94.0,430.6,4198.0,1807.8,33.0,3480000.0
2537c7bf,1786143703799,200.0,94.0,630.0,4198.0,2644.7,33.0,3478000.0
2537c7bf,1786143713814,210.0,94.0,515.9,4198.0,2165.9,33.0,3478000.0
2537c7bf,1786143723823,220.0,94.0,173.4,4197.0,727.9,32.8,3476000.0
2537c7bf,1786143733805,230.0,94.0,204.1,4232.0,863.6,32.7,3476000.0
2537c7bf,1786143743812,240.0,94.0,134.4,4239.0,569.6,32.7,3474000.0
2537c7bf,1786143753818,250.0,94.0,529.1,4239.0,2242.7,32.7,3474000.0
2537c7bf,1786143763826,260.0,94.0,590.3,4239.0,2502.3,32.7,3472000.0
2537c7bf,1786143773821,270.0,94.0,629.4,4239.0,2667.9,32.7,3470000.0
2537c7bf,1786143783841,280.0,94.0,500.9,4208.0,2107.9,32.6,3470000.0
2537c7bf,1786143793806,290.0,93.0,441.2,4202.0,1854.1,32.5,3468000.0
2537c7bf,1786143803825,300.0,93.0,246.9,4202.0,1037.4,32.5,3466000.0
2537c7bf,1786143813814,310.0,93.0,397.8,4230.0,1682.7,32.5,3466000.0
2537c7bf,1786143823804,320.0,93.0,170.0,4230.0,719.1,32.5,3466000.0
2537c7bf,1786143833821,330.0,93.0,590.6,4230.0,2498.3,32.5,3464000.0
2537c7bf,1786143843819,340.0,93.0,525.6,4230.0,2223.4,32.5,3462000.0
2537c7bf,1786143853817,350.0,93.0,462.2,4198.0,1940.3,32.3,3462000.0
2537c7bf,1786143863799,360.0,93.0,581.9,4198.0,2442.7,32.3,3460000.0
2537c7bf,1786143873798,370.0,93.0,302.2,4198.0,1268.6,32.3,3458000.0
2537c7bf,1786143883808,380.0,93.0,194.7,4198.0,817.3,32.3,3458000.0
2537c7bf,1786143893798,390.0,93.0,192.5,4225.0,813.3,32.2,3456000.0
2537c7bf,1786143903809,400.0,93.0,217.2,4225.0,917.6,32.2,3456000.0
2537c7bf,1786143913816,410.0,93.0,142.5,4225.0,602.1,32.2,3456000.0
2537c7bf,1786143923809,420.0,93.0,244.7,4225.0,1033.8,32.2,3454000.0
2537c7bf,1786143930089,426.3,93.0,510.9,4225.0,2158.7,32.2,3454000.0
5abc4da1,1786143505193,0.0,100.0,0.4,4274.0,1.5,32.0,108.0
5abc4da1,1786143515186,10.0,100.0,0.4,4274.0,1.5,32.0,109.0
5abc4da1,1786143525190,20.0,100.0,0.4,4274.0,1.6,32.0,110.0
5abc4da1,1786143535188,30.0,100.0,0.4,4274.0,1.6,32.0,111.0
5abc4da1,1786143545186,40.0,100.0,0.4,4274.0,1.6,32.0,112.0
5abc4da1,1786143555185,50.0,100.0,0.4,4274.0,1.7,32.0,113.0
5abc4da1,1786143565185,60.0,100.0,0.5,4274.0,2.0,32.0,114.0
5abc4da1,1786143575187,70.0,100.0,0.6,4274.0,2.7,32.0,116.0
5abc4da1,1786143585187,80.0,100.0,0.7,4274.0,3.1,32.0,118.0
5abc4da1,1786143595187,90.0,100.0,0.7,4274.0,3.1,32.0,121.0
5abc4da1,1786143605184,100.0,100.0,0.9,4274.0,3.9,32.0,123.0
5abc4da1,1786143615190,110.0,100.0,0.8,4274.0,3.4,32.0,125.0
5abc4da1,1786143625186,120.0,100.0,0.4,4274.0,1.9,32.0,127.0
5abc4da1,1786143635187,130.0,100.0,0.5,4274.0,2.2,32.0,128.0
5abc4da1,1786143645188,140.0,100.0,0.5,4274.0,2.1,32.0,130.0
5abc4da1,1786143655187,150.0,100.0,0.5,4274.0,2.1,32.0,131.0
5abc4da1,1786143665187,160.0,100.0,0.5,4274.0,2.0,32.0,132.0
5abc4da1,1786143675187,170.0,100.0,0.4,4274.0,1.9,32.0,134.0
