device,cap,encounters,distinct_peers,hit_rate,walk_us_per_s,handshake_us_per_s,total_us_per_s,cpu_pct
2537c7bf,8,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,16,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,32,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,64,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,128,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,256,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,512,3,3,0.0,13305.6,1999.0,15304.6,1.53
2537c7bf,1024,3,3,0.0,13305.6,1999.0,15304.6,1.53
5abc4da1,8,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,16,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,32,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,64,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,128,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,256,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,512,4,3,1.0,13305.6,0.0,13305.6,1.331
5abc4da1,1024,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,8,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,16,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,32,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,64,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,128,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,256,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,512,4,3,1.0,13305.6,0.0,13305.6,1.331
907a2f08,1024,4,3,1.0,13305.6,0.0,13305.6,1.331
d8254397,8,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,16,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,32,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,64,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,128,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,256,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,512,3,3,0.0,13305.6,1999.0,15304.6,1.53
d8254397,1024,3,3,0.0,13305.6,1999.0,15304.6,1.53
