distance_m,trials,sessions,estab_median_s,estab_max_s,3ff8f0af_to_499f5c75_delivered,3ff8f0af_to_499f5c75_offered,499f5c75_to_3ff8f0af_delivered,499f5c75_to_3ff8f0af_offered,reverse_inferred,rssi_median_dBm,ctrl_kB_per_trial,data_kB_per_trial,mA_median
10,10,10,2.36,19.91,20,20,20,20,yes,-66.0,2.37,0.49,448
20,10,10,3.38,6.02,19,20,20,20,yes,-72.0,2.37,0.49,397
30,10,10,2.69,6.79,20,20,20,20,yes,-78,2.34,0.49,432
40,10,10,2.62,3.55,20,20,20,20,yes,-78.0,2.37,0.49,425
50,10,10,2.26,3.8,20,20,20,20,yes,-74.0,2.37,0.49,451
60,10,10,2.91,4.47,20,20,20,20,yes,-74.5,2.37,0.49,444
70,10,10,2.56,3.5,20,20,20,20,yes,-77.5,2.37,0.49,439
80,10,10,2.12,7.41,20,20,20,20,yes,-78.0,2.26,0.49,446
90,10,10,2.32,6.41,20,20,20,20,yes,-80,2.35,0.49,470
100,10,10,3.95,7.43,20,20,20,20,yes,-82,2.35,0.49,444
110,10,9,4.3,7.52,18,18,18,20,yes,-84,2.12,0.49,393
120,17,17,2.47,25.74,16,20,12,14,no,-86.0,2.2,0.49,346
