d,payloadB,lanes,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
3.0,132,,,c1 d=3 soak,1785279577685,1785279672819,126,73.8,0.673,100,100,1.0,96,134,108,55.1,1.82,239.6,376.0,2.85,-57.0,4.0,-56.8,2.9,1.58,1.55,1.82,2.62,28,4,2,1,3
3.0,132,,,c2 d=3 soak,1785279672819,1785279768038,121,69.9,0.641,100,100,1.0,100,153,111,54.1,1.85,244.0,430.5,3.26,-58.5,4.0,-58.2,3.6,2.81,2.76,2.98,3.63,28,4,2,1,3
3.0,132,,,c3 d=3 soak,1785279768038,1785279863248,123,72.5,0.683,100,100,1.0,114,152,126,42.1,2.38,313.7,429.1,3.25,-58.0,4.0,-59.0,2.4,2.83,2.76,15.47,15.65,27,4,2,1,3
3.0,132,,,c4 d=3 soak,1785279863248,1785279958453,92,52.9,0.62,100,100,1.0,112,165,128,55.1,1.81,239.5,434.7,3.29,-57.9,3.9,-58.8,2.8,1.58,1.53,1.8,2.65,28,4,2,1,3
3.0,132,,,c5 d=3 soak,1785279958453,1785280053597,124,73.2,0.704,100,100,1.0,99,157,115,54.1,1.85,244.1,431.9,3.27,-57.8,3.8,-57.1,3.2,2.67,2.54,2.96,3.65,30,4,2,1,3
3.0,132,,,c6 d=3 soak,1785280053597,1785280148833,124,72.5,0.683,100,100,1.0,106,152,120,55.1,1.81,239.5,431.9,3.27,-58.0,4.1,-56.4,2.9,1.46,1.42,1.68,2.65,28,4,2,1,3
3.0,132,,,c7 d=3 soak,1785280148833,1785280244058,116,68.7,0.672,100,100,1.0,90,138,110,42.1,2.37,313.4,429.1,3.25,-59.0,4.7,-57.9,3.6,2.57,2.46,14.59,15.14,29,4,2,1,3
3.0,132,,,c8 d=3 soak,1785280244058,1785280339277,129,76.9,0.693,100,100,1.0,85,145,108,55.1,1.82,239.7,431.9,3.27,-59.0,3.7,-56.4,3.4,1.19,1.12,1.39,2.09,28,4,2,1,3
3.0,132,,,c9 d=3 soak,1785280339277,1785280434464,112,64.3,0.672,100,100,1.0,88,126,106,55.1,1.81,239.5,431.9,3.27,-58.8,4.3,-54.0,2.1,1.7,1.61,1.84,2.63,30,4,2,1,3
3.0,132,,,c10 d=3 soak,1785280434464,1785280529619,121,71.3,0.673,100,100,1.0,100,162,114,55.1,1.82,239.6,430.5,3.26,-58.6,4.1,-58.4,3.5,1.67,1.6,1.83,2.62,28,4,2,1,3
3.0,132,,,c11 d=3 soak,1785280529619,1785280624810,126,75.0,0.683,100,100,1.0,116,163,150,54.0,1.85,244.2,433.3,3.28,-59.1,4.1,-56.7,2.3,2.02,1.87,2.22,3.13,30,4,2,1,3
3.0,132,,,c12 d=3 soak,1785280624810,1785280720022,125,72.5,0.672,100,100,1.0,101,146,138,54.1,1.85,243.9,430.5,3.26,-58.6,4.2,-56.7,3.3,1.73,1.58,1.93,3.17,28,4,2,1,3
3.0,132,,,c13 d=3 soak,1785280720022,1785280815236,123,72.5,0.683,100,100,1.0,107,169,126,55.1,1.82,239.8,430.5,3.26,-58.3,4.2,-56.4,2.1,1.4,1.35,1.63,2.63,32,4,2,1,3
3.0,132,,,c14 d=3 soak,1785280815236,1785280910379,123,72.5,0.694,100,100,1.0,118,187,146,55.2,1.81,239.3,433.3,3.28,-57.9,3.8,-52.2,13.2,1.34,1.28,1.58,2.64,28,4,2,1,3
3.0,132,,,c15 d=3 soak,1785280910379,1785281005597,120,69.3,0.662,100,100,1.0,119,181,147,54.1,1.85,244.0,431.9,3.27,-58.8,3.6,-57.8,3.5,2.62,2.55,2.84,3.65,31,4,2,1,3
3.0,132,,,c16 d=3 soak,1785281005597,1785281100819,127,75.0,0.693,100,100,1.0,124,158,148,53.1,1.88,248.7,436.1,3.3,-58.3,4.0,-59.9,3.0,2.86,2.75,3.1,4.2,28,4,2,1,3
3.0,132,,,c17 d=3 soak,1785281100819,1785281196002,125,73.8,0.672,100,100,1.0,110,145,133,55.1,1.82,239.6,434.7,3.29,-58.2,4.0,-57.1,3.1,1.5,1.32,1.65,2.71,32,4,2,1,3
